painting,domi_emotion,utterance_combined
alexandre-benois_cover-page-1904(4),positive,"I like the curious layering, like the people on the top of the hat.The cyrillic writing in this painting leads one to believe that some state-sponsored entertainment such as a play is being advertised.This picture has a happy holiday feel with the jewel tone colors of detailed people grouped together at the top and bottom."
alexandre-benois_peterhof-palace-mon-plaisir-medium-room(1),positive,"Wow, i would love to walk i to this room. the blues are calming and that ceiling is amzing. you want to go look out those windows and stand by that fireplace and look at the ceilings and paintings.The store work and ceiling of the building in the painting makes me feel amazed.A room with elegance."
alphonse-mucha_ruby,positive,"Shows a mixture of beauty with the flowers but also a sense of authority with the posture and facial features of the woman.I am extremely appreciative of the way femininity is depicted in this one, especially the position she is in and her body language. the way her head is thrown back, she definitely looks like a tough woman by nature.The red of the flower and her expresion brings so much power."
alphonse-mucha_salome-1897,positive,"Lovely use of gradient colours and styles, love the line work.Bringing music, excitement and the element of dance to life.The woman looks lively and happy."
anna-ostroumova-lebedeva_pavlovsk-novosilviysky-bridge-1921,positive,A good view come from the best feeling.This is a peaceful and calm fall setting.Looks a bit like it isnt finished but is still a nice piece of a bridge over a stream.Nice simple scene peaceful has a calming effect.The greens and blues make me think of walks through the woods and hikes to new places with family.
aubrey-beardsley_lysistrata-defending-the-acropolis-1896,positive,"It looks like these women are getting their revenge on an evil man who thought he was superior.Her farting towards the man is hilarious.This depicts a person farting , which is quite amusing.This is very juvenile but farting on a man to keep him away is funny."
aubrey-beardsley_the-woman-in-the-moon-1894,negative,A large person is on their deathbed while people look on with aversion.The contradiction between the genitals and the person's face sounds disgusting to me.This photo makes me feel disgusted since there appears to be a man/woman with there genitalia showing and a weird face in the distance. it seems a bit gross and perverted for no apparent reason.
boris-kustodiev_a-merchant-in-a-fur-coat-1920,positive,The big man looks funny.This man is so big! just have to smile.The man is comically fat and large.
boris-kustodiev_easter-greeting-1916,positive,"Very colorful and sweet, like a cherry or rose.The expression in this mans eyes made me giggle a little.Love the dress and the shawl, wonder about the really tall cake on the table."
boris-kustodiev_in-the-market-day-1922,positive,The people are dressed in warm clothes to protect against the cold weather.The pops of color against the bleakness of the white snow make it feel cozy and cheerful.A contented group of villagers enjoying the company in new snow.
boris-kustodiev_meeting-easter-day-1917,positive,"Love, joy and laughter is what i see while looking a group of people enjoying each other.I like the people's weird hats and fat faces, they look cheerful and it makes me smile.I feel amusement to see the laughter and social companionship the people felt together to just enjoy the day outside amongst cows and the community."
boris-kustodiev_merchant-1920-1,positive,The detail of the painting is beautiful yet simple.  a man enjoying his newspaper.The character reminds me of a grandfather. it makes me feel safe.I like this one because it just looks like the man is relaxing with his paper and tea and he looks content.
boris-kustodiev_merchant-s-yard-1921,positive,"This brings me contement because it is of a winter snow scene and log houses with a dog and a couple. it looks like a fun joyous day.Everyone is out on a crisp winter day enjoying the fresh air.The use of bright colors in this scene make it look warm and friendly, despite the snow."
boris-kustodiev_moscow-tavern-1916,positive,"It looks like a group of people enjoying themselves.It makes me laugh because i think it looks like a group on men who have been friends for a long time having dinner and enjoying each others company.At first glance the soldiers look forbidding, but the cat and the man lounging on the left give the impression that this is a relaxed meal.The outfit those people are wearing look odd and a little silly. also the guy with the mustache and tea pot made me laugh a little."
boris-kustodiev_palm-sunday-near-the-spassky-gate-on-the-red-square-in-moscow-1917,positive,"Feels exciting; like you can feel the pulse of the event through the picture.The two columns of colorful balloons floating above the crowd shopping and milling reinforce the feeling of excitement.  lots to see and lots to do.Colorful balloons are flying.  many people are gathered, apparently in a celebratory mood."
carl-larsson_brita-and-me-1895(1),positive,Both figures depicted look like they are having fun and the vibrant colors contribute to that.The little girl is adorable and looks like she’s having fun.The face on the little girl is infectious and sets the mood for the entire piece.The happy child is precariously balanced on the man's head.The jolly faces of the man and child suggest they are entertaining a room full of guests.
carl-larsson_christmas-morning-1894(1),positive,"There are some many kids playing, each doing something different.  it is cheerful.Bedtime as mother supposes but the children have other ideas.What happens after the children are sent to bed.The expressions on the kids faces and their interest in their individual activities makes me feel like they're all satisfied and content with how things are going. the child on the bed looks like he's having a really exciting time playing based on his defiant standing on the bed and facial expression.The innocence of childhood is captured in every way."
carl-larsson_karin-and-brita-1893(1),positive,Peaceful scene between a mother and child brings good feelings.The colors and light used are very soothing as is the subject matter.The closeness of mother and child is warming just like the choice of colors.The baby seems to be at peace.
carl-larsson_karin-reading-1904(1),positive,The soft watercolors and warm lighting are comfortable and homey.The blanket and book remind me of a cozy sunday afternoon at home.Seeing her just sitting there reading makes me feel relaxed like i would like to feel right now.
carl-larsson_self-recognition-1906(1),positive,This is a very interesting image to look at with the creepy looking clown and woman in the background window.The ruddiness of the guy's cheeks corresponds well with the doll's expression and odd smile.The little goofy looking doll in this serious looking picture is quite the funny sight to see.
carlos-saenz-de-tejada_the-portal-n-vitoria-fifties,positive,"There seems to be something festive going on. the yellow of the carriage really stands out against the other colors.I am happy to take a trip on a horse.The wonderful city that is filled with people, horses, and armour releases a western colony setting."
edmund-dulac_the-snow-queen-on-the-throne-of-ice,positive,It is a very detailed and cold looking painting of a ice queen.I feel awe viewing this image of a goddess on what appears to be pieces of a glacier because she has a mesmerizing gaze as if in a trance.The image of the solitary woman is beautiful.
egon-schiele_portrait-of-valerie-neuzil-1912,positive,"The reddish hair and lips, combined with wide blue eyes, flushed cheeks look like a ginger man wearing makeup and resembling a clown.The brightly colored hair and lips of the person. the orange and reds mixed together work really well.The bright red and orange hair on the person goes well with their grey blue eyes."
eliseu-visconti_a-providencia-guia-cabral,positive,"There is much serenity in this photo through the people and colors used.I love the bright colors, and the soft lines give an ethereal feeling to the piece.The grandeur of the figure floating above.The angel is leading the ship and watching over it.Looks like a dream where a boat full of men is being led by a beautiful naked women. very cool and awesome.A siren or angel that is influencing a man in this painting, i like the mythology aspect."
eugã¨ne-grasset_inqui-tude,positive,"He's in drag, sneaking away to visit his boyfriend, the soldier.The yellow flowers are beautiful and this woman looks to be enjoing herslf.The woman looks like she's hiding from someone who might find her at any moment."
felix-vallotton_edgar-allan-poe-1895,negative,"The downturned eyebrows and the clasped hands looks like the man is worried. the ubiquitous black coloring signifies impending doom.A very stark black and white cartoonist depiction of poe, who reminds me of sadness and depression.Starkness of the black and white and the look on that man's face looks sorroful."
felix-vallotton_portrait-of-arthur-rimbaud-1898,negative,"The color black makes the man look depressed and it makes me sad.There is a dejected sense about her. maybe it is the seemingly pursed lips and the slightly squinted longing eyes.The black and white nature of the image, and the uneasy expression gives you a sense of gloom."
ferdinand-hodler_night-1890,negative,It looks like death is coming for the man in the center.What is the under the black blanket in the middle? looks like something is trying to kill him?The subject in the center of the painting has a look of fear with the unknown figure on top of him. it makes me feel unsettled.
ferdinand-hodler_unity,positive,Looks like a bunch of bull fights have attended some sort of fiery sermon to prepare for the battle to the death with the bulls.It looks like a flash mob.They look like theyre about to dance and have fun.
ferdinand-hodler_valentine-gode-darel-in-hospital-bed-1914,negative,"It looks like this woman is on her death bed and she's not happy.This person looks like they are suffering from an illness and seems sad.The person looks like they might be ill and also appears to be sad.She appears to be very sick, like she is near death.Because the lady looks like she is sick in bed."
ferdinand-hodler_weisshorn-of-montana-1915,positive,I love the colors in this picture and how there is no top or bottom i feel like you flip it over and it would still look right you would just see the picture differently.Really love the blue mountains pink clouds. it could be real life or a dream with this one but eitherway i want to sit and meditate there. amazing!This picture does well in capturing a beautiful day near a lake which is in front of mountains.  i like how the color purple is used in the clouds.The beach looks like a great place to relax all day in the sun.Makes me feel happy with the colours and beautiful scenery and nostalgic thinking of visiting tanzania with a view like this.
franklin-carmichael_autumn,positive,"The colors of the trees are so beautiful.It reminds me of a warm fall day with the color scheme.The golds, yellows and reds of the trees brings contentment and peace."
gustav-klimt_philosophy-final-state-1907,negative,"The woman in black reminds me of a witch who is summoning ghosts from the heavens to do her evil bidding.The darkness in this image gives a sad, gloomy impression.I am unsure why the white figures are holding their heads."
gustav-klimt_the-women-friends-1917,positive,"This painting is indulging two beautiful women together,.The women appear excited to be sharing each others company as they both sip opium tea.This painting makes you feel love.  the lighter colors draws you to look at the women."
henri-de-toulouse-lautrec_admiral-viaud-1901,positive,"Something about this says ""george washington"" but on steroids. the red is perfect.I see this as george washington's self-portrait. leadership.The captain commands his crew as their opponent charges for an attack."
henri-de-toulouse-lautrec_at-the-circus-horse-and-monkey-dressage-1899,positive,"Every great clown needs to have the right props.These are definitely circus performers, so it is fun to imagine what kind of performance they might be putting on.  the lipstick on the donkey is funny, although it would possibly seem cruel in real life.This takes me back to childhood circuses. i always loved them. such a happy time."
henri-de-toulouse-lautrec_debauchery-second-floor-1896,negative,"The picture is of a crude sexual act, a lewd man baring and touching the breast of a drunken woman with alcohol in her hand. the woman looks cheap and the man crude and self-serving.A lecherous man appears to be taking advantage of an intoxicated woman.The man behind the woman creeps me out due to his facial expression and the way he has his arm around the woman."
henri-de-toulouse-lautrec_first-comunion-1888,positive,So much history in this pic when people dressed up in fancy clothes.  i like this sketch of the family it makes me wonder where are they going?He wanted a new automobile. she wanted another kid.They look cool and elegant with a streak of ghoulishness.  they also look like they are going trick or treating.
heorhiy-narbut_cover-for-the-book-the-russian-red-cross-1867-1917-1917,negative,This creates the impression of nazi or communist values.This image lacks character and memorable traits and looks more like a logo than a work of art.The image reminds me of posters for far-right political groups.
ivan-bilibin_costume-design-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1908(1),positive,This leader seems as if he would be very benevolent.Light colors on a very pale tan colored background.The clothing on this person makes them look like royalty.
ivan-bilibin_illustration-for-the-magazine-art-treasures-of-russia-1903(1),positive,The vertical geometry draw the eye towards the title words at the top of the work.I really like the detail in the peoples armor and overall other things in the image.There is a sense of safety and security in this image.This looks like a flyer of kind that could be very old but in a different language that i can't understand.
ivan-bilibin_illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1906(1),positive,"Someone is presenting a golden rooster to a king wearing a golden crown.Even in ancient turkey people traded items for other things.The man on the left is deep in thought with the king, making me feel contentment for his rank."
ivan-bilibin_monastery-of-st-george-hosevita-palestine-1924,positive,The sight of a town in the middle of the cliffs symbolizes the resilience of humanity.The sand colored building was camouflaged in the mountainside.It's incredible that homes could be built into the side of rock like that.A very nice sense of scale and perspective.
ivan-bilibin_palace-of-chernomor-sketches-of-scenery-for-mikhail-glinka-s-ruslan-and-ludmilla-1900,positive,This looks exotic with the patterned tile and the gold shapes roud the entryways. the backdrop of mountains makes it seem inaccessible and hidden like a perfect archaeology find.Awe and contentment if i could pick two. a peaceful setting with impressive architecture in a exotic loaction.I'm amazed at the detail and realism. it's almost a picture.Those buildings are absolutely stunning! i love the architecture as well as the details. i wish there were places in my country which looked like this.
ivan-bilibin_prince-ivan-and-the-firebird-illustration-for-the-russian-fairy-story-the-firebird-1901,positive,"It is sort of mystical.Catching a peacook in flight by its tail feathers.This drawing is pretty unique, and reminds me of history's drawings for churches."
ivan-bilibin_sketch-for-the-spectacle-honor-and-revenge-by-fiodor-sollogub-1908-1,positive,"The man is posing despite is excessively flamboyant close and fat body, which is hilarious.Its like a fat jolly conquistador with a floppy sword, reminds me of the don quixote style goofiness of the time.The man's big belly and his colorful and oversize clothes make this an amusing painting."
j.-e.-h.-macdonald_cathedral-peak-lake-o-hara-1927,positive,"Gorgeous scene - something out of montana or wyoming. a lovely panorama.This valley is really pretty, it reminds me of a place i'd like to go in real life.The peach colored mountains and the teal blue river create a really nice look.It's like looking at a nice view during a sunset. the use of color on the water, the mountains and the valley below is very nice."
j.-e.-h.-macdonald_the-solemn-land-1921,positive,This beautiful landscape painting makes me feel awe and transports me to times i've experienced gorgeous landscapes in person.The tan colored water flowed though the hills filled with the colors of fall.For some reason the style of this reminds me of feudal japan. the details in this are kind of animated but very real altogether. the water looks hyper realistic.
jacek-malczewski_hercules-on-the-crossroad,positive,A proud dad stands by as young love is taking place behind him.The man looks like he's trying his darndest not to look at the two attractive women kissing.The man in the armor is not happy to see them kiss.
jacek-malczewski_portrait-of-edward-raczynski,negative,The man appearing to be scholarly is instead surrounded by nude people.Men.  always wanting/having [naked] women flaunting themselves around them.Looks like a stern man with power. someone who abuses women and sees them as objects as he has many in the background with him but he is disinterested.
jozsef-rippl-ronai_mansion-at-geszt-1912,positive,"The whole painting is a series of dots and the colours are pleasing.The brush strokes in this painting make it look like it was made of mosaic tiles instead of paint, especially in the green near the bottom.Scene of what appears to be austria painted in earthtones with a large white stone abbey."
jules-cheret_hippodrome-de-la-porte-maillot-paris-courses-1900,positive,"The different typefaces, the lady on the galloping horse along with the horse riders in the background all lend an air of excitement.I really like the bright colors in the image! the splotch of bright red contrasts really well with the teal colors in the rest of the image!The smile on the ladys face looks real enough to be in the picture."
jules-cheret_taverne-olympia-restaurant-1896,positive,"The couple in the artwork look like they are having a good time.  and the old fashioned costumes are nostalgic and fun!This feels fun to me, it's en francais, the woman's bright red dress makes me feel happy.It is a fun drawing of a movie, or advertisement. i like how high energy it is."
kay-nielsen_east-of-the-sun-and-west-of-the-moon-1914-3,positive,"The womens reflection looks like it has turned away from her as if ashamed of her life.Wow! definitely in awe of this ancient scene. it looks like an angel figure approaching a wise man at a like. the intricacies of the lake, the clothing, the plants around the lake... wow!This is a majestic scene of a knight by a magical pond."
koloman-moser_the-sketch-of-the-round-window-art-1897,positive,"This looks egyptian to me, the way the woman in the middle is posed, the blue wings are lovely, and her hairstyle looks egyptian to me.This looks like a beautiful mother nature angel, just letting the world grow from her womb.It looks like a stained glass art it is beautiful."
konstantin-somov_illustration-to-the-novel-daphnis-and-chloe-3,negative,Men in helmets letting a tortured woman pass. it's disturbing and graphic.This looks like a group of men tormenting a young woman.The blonde woman looks to be in pain as she is whipped.
leon-bakst_arabic-dancer,negative,"The expression on the man's face is downright creepy.The mans white eyes make him look like he has been possessed.This looks like some sort of a witch doctor or sorceresses.The whites of the eyes look evil to me. overall, i like this painting though.This painting is both beautiful and scary. the dark creature looks like a demon or something and his eyes are very creepy."
leon-bakst_cleopatre-danse-juive-1910,positive,"I love the beautiful colors of his robes, the peacock blue and gold.The man is happily dancing and his clothes are interesting and amusing.This person is obviously cavorting very happily. it makes me want to cavort too."
leon-bakst_scheherezade-scenery-1910,positive,"Posh location where the owner is probably having a good time all the time.It looks like a lavishly decorated palace, and i am eager to know more about it.  the way it is presented throws off the sense of scale, i can see it being either a small room or enormous - the green up above and the red below makes for a pleasing contrast.This artwork is very bold and vibrant.  i like the contrast of the reds blending with the blue tones.I enjoy the greens and pinks of this intriguing scene."
nicholas-roerich_arrival-of-prince-michael-glanda-kambily-to-russia-veliky-novgorod-1913,positive,I like the many fine details surround the main image of the people.I love the bright red and orange building and intricate details.These ancient arabic paintings are simply awesome! the vivid colors in this painting speaks volumes of the time and detail that the artist put into this piece.
nicholas-roerich_brangena-1912,negative,"The faceless man with the long black robe looks like he could reach for the weapon beside him at any moment.It looks like the grim reaper, or something from a horror movie, especially without a face.The sword/knife in the background and the red color of the gown."
nicholas-roerich_musiians-1921,positive,"This reminds me of a blueman group moment where one of the drummers is going to bang the drum so hard, the other two that are going to wind up affected in the wrong sort of way!The men seem to be playing drums as if in a festival.The faceless people seem to be having fun playing the drums."
nicholas-roerich_queen-of-heaven-over-river-of-life-1914,positive,"Looks like an egyptian important figure or cleopatra or something.This woman has so much detail on her face and with all her jewelry she must be royalty.The level of detail in the figure's crown / halo.She is regal, finely dressed and glows like the sun."
nicholas-roerich_study-of-decoration,negative,Hiding in the caverans under the mountain castle.The items under the ledge look like monsters hiding or being held hostage.It looks like a storm is coming to take the town.
nicholas-roerich_the-last-angel-1912,negative,"The creature with the spear looks like an evil demon.A horrifying piece of what looks to be a religious symbol allowing a village to burn to the ground, perhaps as a punishment or a warning.The oranges and reds are vivid but the subject matter is disturbing and depicts destruction of a city, the angel has a terrible expression of hatred.It looks like the picture is set in hell or something.The fiery flames and billowing smoke indicate destruction to everyone in the village. the angelic figure is clothed in armor and is larger than life.The deep reds and oranges of the fire makes me feel the heat and the boldness of the angel of death (hell?) along with his angry glare invikes a deep dre and  fear.Angel holding spear surrounded by fire & burning city."
nicholas-roerich_vitrage-1929,positive,"The saint's visages make me love god all the more.The is a sacred religious portrait of what i think to be mary and joseph.An intriquite and beautiful stained glass of the christian religion.The figure's halo's and regal robes give me a sense of royalty and reverence.The figures are elevated by halos on their heads. the scene depicts an important encounter or event. the stars balance the dark colors - it is night time, not dark time."
paul-mathiopoulos_portrait-of-kiki-papastratou,positive,I like the angelic whispiness of the lady's stance and dress.Her bright clothes looks majestic and heavenly in a way.This woman looks strong and confident in her beauty and grace.
raphael-kirchner_a-girl-holding-a-rose-1916,positive,The purple makes me feel very curious to know more about her.I enjoy the red rose and her black shawl.The purple dress and black shawl contrast each other very well.
raphael-kirchner_fables-1903-2,positive,She's leaning in to whisper something to the pelican beside her.I feel like this woman is talking to that bird which is just odd and silly.A woman petting a pelican on the shore.
raphael-kirchner_geisha-10,positive,I just love the color palate differences and how interesting the painting is.The colors blend so well together and compliment each other well.I am excited by the flirty looks on the geisha girls.
