final_id,group_id,start_id,freq,text
-1,6682,135,6, this beautiful woman is quite pleasing to look at
-1,6811,136,2, that and the odd dark colors makes this a bit creepy looking
-1,6143,137,2, this man's beard
-1,4031,138,1, me feel festive
477,60,139,2, it creeps me out
-1,3660,140,1, he is about to say something with his lips slightly open
-1,5895,141,1, i feel stupid
288,177,142,2, the man's severed head
287,103,143,2, everything is so bright and vibrant
-1,7108,144,1, something to behold
-1,4286,145,1, glowing orange lights radiating from the inside of the house
-1,429,146,1, which is stimulating
-1,4819,147,2, this is about
34,6303,148,4, it is bright
-1,3675,149,2, she is wearing
-1,6409,150,1, this style of painting feels messy yet at the same time beautiful
-1,6394,151,4, the flowers are really pretty
-1,4334,152,2, it is unfinished
-1,3998,153,4, calm water gives a sense of peace
-1,3907,154,3, the nature scene is peaceful
242,4558,155,2, it looks stormy and cloudy
-1,6919,156,1, the shape and the yellowish colors are like lightning bolts
-1,7047,157,4, really richthe lighting is great
-1,6134,158,2, the man looks large and scary
-1,6857,159,7, the woman's eyes
-1,5067,160,2, he looks serious
-1,6513,161,2, there appears to be a battle scene
-1,6549,162,2, they are in motion
-1,4223,163,3, lots of detail going on
-1,6783,164,2, these men look stoic
-1,4494,165,3, me feel love
-1,4021,166,1, the hair and the mustache of the man were captured
-1,4458,167,1, red cliff is very exciting to look contrast with blue sea
-1,3888,168,1, the different color on the leaves are nice
-1,5979,169,1, me to engage with the image
-1,689,170,2, some many kids playing
-1,6310,171,2, a woman's body
-1,5867,172,2, they make no sense
-1,4564,173,3, they are standing
248,5479,174,2, the woman holding the child
-1,5599,175,1, the red of the sky contrasts well with the blue of the buildings reminding me of sunset
-1,4471,176,1, i would paint
-1,4119,177,4, me want to know the story
-1,16,178,3, i love a day at the beach
16,171,179,6, this is simple
-1,4351,180,1, they went to make the details as realistic as possible
-1,4878,181,1, a lady jumping through the air
-1,6626,182,3, details are incredible
7,292,183,2, the art work is awesome
-1,4023,184,3, the picture is very detailed
-1,5183,185,1, it's torn
-1,3803,186,1, enough variation to bring the piece to life especially with the white highlights
-1,6593,187,4, this man's eyes
-1,5385,188,2, the woman's back
-1,4568,189,1, the character's face
-1,4255,190,5, the woman's dress
13,395,191,5, the man is wearing
-1,3757,192,3, the sky is quite gloomy
-1,5349,193,2, the mans face
-1,3743,194,2, theyre about to dance and have fun
-1,5581,195,2, the men watching
-1,7151,196,3, this is art
-1,5871,197,2, it looks grotesque
-1,6317,198,1, eyes covered
129,208,199,2, the woman's legs
-1,6478,200,1, me think of microbes under a microscope
-1,3609,201,2, the severed head on the platter is really disgusting and disturbing
-1,5771,202,1, the colors and scene are gross
-1,3929,203,1, the man is sucking her toes
14,25,204,1, the painting depicts a lot of chopped up body parts
-1,5743,205,1, the person's rear
-1,4811,206,1, the people appear to be old and not appealing
-1,4295,207,1, someone likes garlic and wine
-1,4079,208,1, the woman's foot
-1,4743,209,1, the faces are deformed looking
68,344,210,1, who has done bad things
-1,6891,211,1, someone broke its body
-1,5342,212,1, a used condom coming out of this purse
63,582,213,1, what looks like a hanging in the top left corner
-1,6705,214,1, this sketch of a decomposing equine carcass is sure to create revulsion in the viewer
30,37,215,1, this rock looks really ugly
-1,5955,216,1, one person's body
-1,4257,217,1, the rocking outcropping reminds me of warts on a human face
-1,7009,218,1, the subject of the painting looks very young to be shown nude
-1,4445,219,1, the bodies are bending
-1,4109,220,1, it looks like its a broken piece of rock on a plate
-1,4531,221,1, the scene displays a certain sort of underlying violence
-1,7053,222,1, naked people are disgusting
31,894,223,1, he has many in the background with him
68,344,224,1, the brown flowers and distorted piece of fruit are unappealing
-1,6255,225,1, me want to gag myself
-1,6091,226,1, looking at all these circles and colors is just giving me a headache
-1,6639,227,1, the dripping paint is the color of diarrhea or something equally gross
-1,6653,228,1, a baby would leave in a diaper
-1,4193,229,1, it looks like some prostitute posing for video shoot
64,20,230,1, me think of something gross like a hairball in a drain
-1,5616,231,1, the man is the only one with clothes on
57,147,232,1, this male body looks like its hung in a butcher shop just yuck
-1,4069,233,1, the woman lacks clear facial expressions or even fingers
64,20,234,1, the drawing is vulgar
-1,6079,235,1, he has his arm around the woman
48,33,236,1, it looks like a dirty tiled floor
-1,5367,237,1, the distorted women in odd colors don't look right
8,2,238,1, the faces on the top right seem like smeared feces
-1,4691,239,1, it's a little grotesque and distasteful
-1,5277,240,1, it is hard to make out the details between the creatures
-1,5708,241,1, but this is just a weird religious picture
-1,5896,242,1, i don't like abstract art
-1,6359,243,1, a vase can come alive
249,5503,244,1, the people are naked and sad looking
-1,7173,245,1, the painting looks like a group of random uneven shapes with no meaning
247,5451,246,1, a ancient species staring off at you
245,5231,247,1, it is easy to see inappropriatelooking items in this painting
-1,6623,248,1, the jumbled twisted shapes of the picture do not depict anything clearly but somewhat evoke the idea of rotten food or filth thanks to their putrid colors and shapes
-1,4606,249,1, i do not like the distortion of the shapes or the use of the dark colors
-1,5227,250,1, i have to clean up
1,24,251,1, the different class of people at the top and bottom makes it uncomfortable to look at
-1,5921,252,3, the shadows are ominous
-1,6772,253,3, that seem to coordinate together well
-1,6191,254,3, the woman's hair
8,2,255,2, the woman in the middle is posed
-1,5613,256,2, the man looks to be lost and forlorn
-1,5291,257,2, it has a frown
-1,4127,258,2, that has died
383,10,259,2, the person in this painting looks very sad and cold
-1,6285,260,2, the color choices are stunning
-1,165,261,2, the people strolling
-1,5358,262,2, this painting doesnt invoke too much emotion in me
69,202,263,2, the woman is wearing
-1,4128,264,2, them kiss
-1,5971,265,4, it feel cozy and cheerful
-1,5035,266,2, i feel for him
26,862,267,5, the bouquet of flowers look very pretty
-1,4478,268,2, the men sitting down
-1,5901,269,2, me feel very lonely
-1,5423,270,3, the yellow flowers are beautiful
-1,6360,271,4, it is fine
-1,7119,272,1, his servants to do
-1,5523,273,1, mothers have not changed between now and then
-1,5969,274,2, the subject's face
451,4035,275,3, there's not much detail
-1,6211,276,1, rats are crawling all around
-1,6719,277,1, what is transpiring
-1,6955,278,1, what appears to be a heart
-1,4898,279,1, this image lacks color and offers little or narrative or symbolism
-1,5602,280,1, he is being forced to eat the head of a weird animal
-1,5727,281,1, it looks too disorganized and random
-1,6247,282,1, the knife is somewhat ominous
81,219,283,2, the girl's head
-1,5582,284,2, the woman's posture
-1,5947,285,2, the face is interesting
125,4657,286,3, me feel any way
-1,5109,287,6, they have
-1,4215,288,5, i don't know what it is
-1,7027,289,2, the subject of the painting is so unique
61,5995,290,2, she has to wait
-1,4957,291,1, its made
-1,5768,292,1, the figures are all focused on this baby with an expression of love and affection
-1,4178,293,1, it lays on the platter
91,5731,294,1, the woman's cradling the baby in her hands as their skin glow
-1,5504,295,1, the whole scene take on the meaning of a small industrious town
440,3734,296,2, pretty red flowers stand out nicely against the lighter colored background wall
-1,5255,297,1, the man on the right doing something with his right foot
-1,6257,298,1, this seem like a moment of play has been captured
-1,5234,299,1, him look like an iguana
0,1,300,1, whats is going on
-1,6098,301,1, he is carrying too many items
-1,3679,302,2, i enjoy
-1,5047,303,1, dog faces
-1,4415,304,1, that turtle is going really fast and will catch the bug
-1,6860,305,1, cupids exmaining his judgement
351,3749,306,1, she looks happy ready to party
-1,5487,307,1, they are having fun dancing together
-1,821,308,1, an old woman is trying to persuade a skeptical older gentleman
-1,4959,309,1, the picture is drawn
19,187,310,1, this look like a hastily drawn scene
-1,5728,311,1, they were punished and were required to wear it
-1,5894,312,1, cheese and chocolate arranged in a specific format
-1,4763,313,1, he thinks a lot of himself
-1,4550,314,1, the tree's and background
67,41,315,1, it's absurdly disproportionate
-1,3777,316,1, what is going to be expensive art
57,147,317,1, she has a great little smirk
-1,3769,318,1, it is fun to see a cute picture from something not foreign to the common home
-1,4684,319,1, who are working
-1,5998,320,1, the swirly clouds look like some freshly exhaled smoke
-1,4475,321,1, which is totally nonsensical
-1,3857,322,1, but he's hot below the waist
-1,6179,323,1, put a crash dummy in a dress straw hat and high heels to do the weekend at bernie's dance
-1,4224,324,1, he's having fun on the rock
-1,5767,325,1, my parents would wear
-1,6561,326,1, the big guy watching the set up of the machine
-1,6935,327,1, the look on her face and the child seems a bit funny to me
-1,5427,328,1, it's a bit boring but clever at the same time
2,106,329,1, an old kids cartoon
-1,6649,330,1, that like to ride the white pony
-1,4431,331,1, there is an active scene of a man on a horse at a circus
-1,5683,332,1, all the different colors and people make it into a playful painting
44,91,333,1, psas of that time said were bad
-1,4253,334,1, the childlike quality of the drawing in this painting is accessible and striking
-1,5247,335,1, they are making jokes
50,188,336,1, someone made on a napkin or something
-1,6235,337,1, a bear being made to walk on two legs
-1,6063,338,1, the subject is nostalgic and amusing
377,7048,339,1, that played mr bean
-1,7023,340,1, the colors of the animals is really odd and unusual
265,417,341,1, he hides within the plants with his friends
-1,3753,342,1, some have stripes
-1,1736,343,1, the artist looks at them with small minds and fat nourished bodies
-1,6265,344,1, he seems like a very devoted fan
265,417,345,1, it look like a rough draft
-1,3825,346,1, the girl's cheeks
-1,6401,347,1, i love the delicate ballerinas in the coarse splayed leg positions
-1,5941,348,1, it's picking the nose of the grey face
-1,4019,349,1, it gives me good memories
-1,7118,350,1, the overweight man looks like an overgrown kid
-1,3604,351,1, detailed people grouped together at the top and bottom
-1,6103,352,1, this person is obviously cavorting very happily
-1,6739,353,1, there's a message there the rich vs the hidden poor
21,26,354,1, an elementry school child made
-1,6743,355,1, these are not visible
-1,1736,356,1, that are used
-1,6026,357,1, he is keeping a playful secret
-1,3901,358,1, some things stay the same through time
-1,3728,359,1, a fall is coming
-1,5952,360,1, she's leaning in to whisper something to the pelican beside her
-1,5356,361,1, me think of a giant weight lifter
5,430,362,1, every great clown needs to have the right props
-1,4911,363,1, me think leisure and privilege and time unlimited
-1,5439,364,1, they look cool and elegant with a streak of ghoulishness
96,367,365,1, an unassuming vessel seems to spill over with what might be remnants of love letter or sprays of flowers in a colorful array
-1,4066,366,1, the beings look appear to have weird faces with no eyes or mouths
-1,6687,367,1, at least they are different colors and patterns than the first one in the corner
468,738,368,1, her cheeks are too big
-1,6951,369,1, it gives an effect of rainbow and house in a landscape
18,221,370,1, this is depicting
-1,6080,371,1, a very interesting image to look at with the creepy looking clown and woman in the background window
-1,3832,372,1, all the people are wearing
-1,5595,373,1, a ginger man wearing makeup and resembling a clown
9,59,374,1, are all looking for something
-1,4337,375,1, the bright yellow background against the blue players is very pleasant
170,154,376,1, they play two flutes
-1,159,377,1, me giggle a little
265,417,378,2, it makes me curious to find out more about it
-1,4801,379,1, his eyelashes look very unrealistic
-1,4081,380,1, it was a bright representation of noah ark
-1,6591,381,1, that resembles a disney world movie
-1,4000,382,1, it's like a spooky halloween painting
-1,5561,383,2, i can discern
-1,4271,384,2, the color are dark and gloomy
78,64,385,2, she is staring down
-1,6019,386,1, both horse and rider appear forlorn and exhausted on a barren hillside
-1,4581,387,1, left in the rain trying to get by on a journey
-1,6170,388,1, blank canvas surrounding the headstones
-1,5237,389,1, they are bowing their head down in sadness
-1,6691,390,1, this looks like a war zone and its deadness
-1,5238,391,1, a child outgrowing childhood
371,4541,392,1, the kneeling young boy appears to be begging for money and seeking assistance
-1,5123,393,1, he is about to be executed
-1,5575,394,1, two women looking out over the ocean a little dog on the leash
-1,5083,395,1, i'm looking at a dead animal
-1,6344,396,1, the person is all alone in a vast empty winter wasteland
-1,6299,397,1, the dark colors in the dead birds seems gloomy
-1,4195,398,1, they are barely surviving
-1,4831,399,1, what is wrong
-1,4083,400,1, no life left in him
-1,5559,401,1, this gray drab looking woman burdened with a heavy bale of hay
-1,7181,402,1, fine detail in the figures and horses are lovely
373,4599,403,1, the child with fan in hand looks to be sad
-1,6008,404,1, the man is banging his head against the door in regret
-1,5141,405,1, the all black drawing adds to the sense of gloom
14,25,406,1, the old man's hand position
-1,4699,407,1, the grey color tone is very gloomy
-1,7103,408,1, they are struggling in the water
-1,5566,409,1, the man sitting down on the ground
-1,5375,410,1, a family sitting on the dinning room of the house
-1,6222,411,1, the people gathered around
-1,7167,412,1, the trees are dead
270,96,413,1, the men seem to be underpaid factory workers
-1,4967,414,1, they trudge forward with their packs
-1,3935,415,1, he is calling someone for help
60,108,416,1, he is holding the paper in his hands
-1,5890,417,1, to see the field of suffering people is devastating and sad
-1,5,418,1, youthe bird hanging upside down
16,171,419,1, the subjects are devoid of real meaning
0,1,420,1, the woman is missing part of her face
0,1,421,1, she is longing for someone
-1,5100,422,1, he is in need of something more in life
-1,5803,423,1, this painting lacks light
-1,6032,424,1, the colors of the background and woman remind me of a sad time
-1,4474,425,1, no clothes to wear
42,179,426,1, the woman is dressed in dark clothing and looks aged and tired
-1,6734,427,1, who is ill and possibly dying
-1,3813,428,1, who died tragically
-1,3641,429,1, i think we will be seeing a lot of in the coming weeks
-1,3903,430,1, which is painted in black and white making it even more sad
-1,5186,431,1, someone is going to die
4,432,432,1, it's kind of a sad color
39,5502,433,1, hard repetitive work done by an anonymous figure
-1,3939,434,1, abd the facial expression of the figures around him showed a great sense of sadness
-1,7054,435,1, the figure in the painting is dwarfed by the environment and seems to be isolated
-1,3967,436,1, they are looking in the ditance deep in thought
-1,5323,437,1, this person seems unwell to me and unhappy
-1,4229,438,1, they are suffering from an illness
-1,6171,439,1, a servant preparing him for the day
-1,3775,440,1, the scenery looks dead and barren
194,213,441,1, the lone statue surrounded by trees
-1,6529,442,1, the foreground's isolation
-1,7174,443,1, they sit silently in their room alone
438,3599,444,1, it's full state
-1,6848,445,1, they are being killed
-1,7024,446,1, a darkness has descended over this family clouding and distorting their faces with worry and pain
-1,5571,447,1, it's a black image and is like death
-1,6527,448,1, the little girl looks to be crying in her mothers lap
-1,4373,449,1, he has multiple wounds and looks hurt
-1,5859,450,1, the woman has no clothes on and looks demonic
-1,6094,451,1, i am left alone in a lonely graveyard
-1,100,452,1, the image is cold and unfeeling
-1,4038,453,1, the family looks poor and sharing a bowl of food
-1,6420,454,1, the person in the artwork looks old and frail
-1,5558,455,1, the entire piece looks faded and old
-1,3048,456,1, mistakes made
-1,5037,457,1, the man wearing the red hat
0,1,458,1, the woman on the right is being ignored or possibly left out
-1,3692,459,1, the details in the characters are amazing
-1,5400,460,1, many of the people have their heads down
-1,4511,461,1, they're gonna be tossed out due to them being so worn out
165,67,462,1, the details of the wounds and the cherub faces are grusome
-1,6925,463,1, the person in the bed appears to be ill
-1,5583,464,1, a picture showing suffering
-1,3793,465,1, the background is fairly simple
-1,6815,466,1, she looks evil with the crazy eyes black colors and snake around her head
-1,4813,467,1, the cout yard is not well kept and looks sad
362,4115,468,2, many people are gathered apparently in a celebratory mood
-1,6199,469,1, there are clouds of white hanging beneath the glass
-1,6007,470,1, even with a far away perspective the artist has managed to give amazing detail and depth to the painting
-1,4737,471,1, me feel blank and empty inside
-1,6947,472,1, i wouldn't want it on my wall
-1,4303,473,1, the profile is nicely done
-1,5915,474,1, maybe there is something magical waiting over that hill
235,4252,475,1, the soldiers are guarding the bay
-1,6861,476,3, it is dark
-1,4607,477,2, that's textured
-1,4615,478,1, the scene presents the everyday beauty of home
364,4143,479,1, church coming out of the ground
-1,6671,480,1, they hold tantalizing secrets
-1,4687,481,2, this person is doing
31,894,482,1, the boy sitting on the ground
275,156,483,1, he can't focus
-1,5134,484,1, an owl transforming into a human
-1,4446,485,1, needs pruned very badly
173,204,486,1, soldiers are dying on the steps
-1,6113,487,1, the black square is like a window
-1,4343,488,1, the contrast and brightness addition would make the picture better
123,3839,489,1, he is waiting for or looking at
-1,4187,490,1, the other man leaning on the cross
-1,6599,491,1, the woman's easy confidence
-1,4131,492,1, me wonder what they might be looking at
-1,4752,493,1, it's just a average ordinary portrait of a man from the past
-1,7073,494,1, the artist was thinking of a twofaced person they might have encountered before
-1,4643,495,1, this painting is confusing with its boldness and color words
-1,4504,496,1, there doesnt seem to be a focal point anywhere
271,85,497,1, this picture is very basic
-1,3875,498,1, it look sweaty
109,30,499,1, i there there is a sense of gratitude to be able to partake in such a meal
