painting,domi_emotion,utterance_combined
raphael-kirchner_single-items,positive,"The flowers design that the women is holding.The eye is drawn to the green foliage, a fun and appealing artistic expression of a woman.This could be the inspiration for the leg lamp from a christmas story.This half naked lady makes you think of sex and that is exciting."
raphael-kirchner_stained-glass-art-1,positive,"The colors all work nicely together and almost give the woman a mermaid, or natural woman of the sea, appearance.The stark subdivisions of the window's colors and bold lines really do look like stained glass.Looks like a stain glass window you might find in a church or very old building.Looks like an elegant woman that could eventually be put in stained glass."
sergey-solomko_portrait-of-italian-young-man,positive,The look on this person's face from the side shows content and calmness in their eye.The profile is nicely done and his eyes look very realistic and like they have a lot to say.The young man appears strong and confident as he gazes into his future.
wilhelm-kotarbinski_cleopatra,positive,The picture is very detailed i love the birds and the kids face.The wings of these birds look like very sharp knives!A boy lays before a woman with cranes all around them.
wilhelm-kotarbinski_dawn,positive,"The men and women appear to be holy, flying to the sky on wings.I think using only black and white makes this picture more powerful.  it makes the angels in this picture look even more majestic.The way the white is used in the painting to portray light casted around the three people is mesmerizing."
wilhelm-kotarbinski_portrait-of-young-woman,positive,The woman's bushy brown hair and giant breasts makes her seem sensual.The woman's pale skin and bountiful breasts make for an exciting sight.Love her look and pretty eyes.The woman's ample chest covered by a thin dress makes for a sensual sight to see.
adriaen-van-de-velde_the-martelaarsgracht-in-amsterdam,positive,"The clouds and bright sky give it a nice feel.The scene is calm and relaxing with nice weather, i could imagine myself on vacation in a place like this.Calm still canal water and clouds puffing in background."
adriaen-van-ostade_merrymakers-in-an-inn,positive,"This reminds of a gathering or a family party and there is a lot going on to look at in the drawing.It is always amusing to see how people used to court each other in the old days.The painting is a celebration of life and dancing.The environment is lively, it looks like people are dancing, and the colors are warm and comforting."
adriaen-van-ostade_wandering-musician,positive,"The man is smiling and looks a little drunk!I think the facial expressions convey happiness, but i'm not positive. so i'm entertained by the confusion.I think the man's expression is funny, colors are really working well."
bartolome-esteban-murillo_promenade-st-joseph-and-the-infant-jesus,positive,This piece is interesting because you can still see grid marks in the background. it gives a little insight into how the artist made this work.A father holds his sons hand as he walks through the woods.The whites of the people and the green border around it.
bartolome-esteban-murillo_the-immaculate-conception-1,positive,The light around her head feels very angelic.The virgin mary being hailed from heaven for her elevated motherhood.The glowing light reminds me of religion and the vastness of the unknown.
canaletto_the-doge-s-palace-with-the-piazza-di-san-marco-1735,positive,"I'm in awe at what buildings and boats humans have created.Although the buildings look dull, the architecture is beautiful, and the water with the people and gondolas are breathtaking.Elegant-the architecture is beautiful, the blue water is calm, there is a lot of attention to details with the human figures.The architecture of the buildings make me in awe of the work done on them."
david-teniers-the-younger_the-temptation-of-st-anthony,positive,"The frog riding on a beast is very amusing. the soft tones makes this painting seem friendly despite how odd it is.It's like a spooky halloween painting. with the bats, the frog drinking and the skulls.I like the colors used in this piece of artwork and how animals are riding each other on here."
esaias-van-de-velde_farmhouse-with-dovecote-on-a-river,positive,"I imagine i'm out there in the boat on the water.The village is quaint with a sense of contentment.Even thought the buildings look like they are ready to fall apart, this artwork looks like it is trying to portray a simple life without worry or fear."
francesco-guardi_piazza-san-marco-1,positive,The spire on the right is detailed. the columns are well defined. the lighting is accurate with the shadows of the people being consistent.The level of detail is breathtaking and the sky is gorgeous.The detailing in the buildings makes it looks very realistic.It looks like a picture. it makes me want to travel and see that clock tower.
frans-hals_a-banquet-of-the-officers-of-the-st-george-militia-company-1616,positive,The artist is very skilled at recreating detailed images of humans.The artist has created a very detailed lifelike image.The figures look important and they some look at the viewer.
frans-hals_peasants-at-a-wedding-feast,positive,The characters seem to be having a good time.These people look like they are partying hard! i love the people dancing in the background and the man in the foreground too drunk to stand.The grouping of heavy drunk dancing people make you wish there was a video of this scene.
frans-hals_vincent-laurensz-van-der-vinne,positive,I think the way that the artist painted the man's face is very realistic.  i especially like how the hair and the mustache of the man were captured.The young man has a mild smile to show his contentment.The expression on the man's face is one of being at ease.
gerard-terborch_mother-combing-the-hair-of-her-child,positive,It's showing a sweet moment between mother and daughter.There is a lady sitting on a chair taking care of the hair of a little girl. they are on the old times wearing old traditional clothes.How the older lady is fixing the young child's hair.
guido-reni_saint-mark,positive,He is realizing that life is going by fast and he has to write his book.Who is the man draped in a sheet and taking notes? one's mind spins while you wonder about him.I feel awe at the impressive level of detail on display here and also because this appears to be a portrait of a scholarly individual who is possibly a biblical figure.The detail in this piece to be able to see the different pages is wild. i like that the artist even added in the wrinkles under the eyes.The detail put into painting this man makes it almost as real as a photograph.
guido-reni_the-toilet-of-venus-1623,positive,"A woman naked is being attended to by three other women and a little girl by her lap.The girl in the chair looks like she's overdosing, but the light and shadow is phenomenal.The mother is being pampered while the child is at her side and they all seem content."
ivan-nikitin_portrait-of-peter-the-great,positive,"The man can't seem to decide which way to look.This man appears to be happy go lucky, and people in portraits during those times didn't always look like that.The guy looks like he's very calm and proud in the picture."
jacob-jordaens_the-holy-family-with-characters-and-animals-in-a-boat-1652,positive,"The woman with her baby seems to be blessed by the heavens with their light clothes and aura.It appears as though the entire community is rallying together to travel on a voyage, with cattle, cargo, and sundry goods - and in the middle of it all is a mary and christ-child figure.   it makes me think of a grueling voyage sustained by faith.The men look exhausted from the day on the sea."
jan-steen_tavern-scene,positive,"The image seems like a snapshot of life during a simplier time.This is an interesting scene, the dog looks like he's waiting for somebody to drop something.Feels really homey. the colors feel nostagic.How wonderful it must have been for these people to get together and really enjoy the companionship of each other."
jan-steen_winning-speaker,positive,Something valuable is being looked at. a map? a letter? it's important.The grimacing scrunched up face of the man on the right is hilarious and seems to make fun of the man reading.The men in this image look jolly and the colors are warm.Looks likes a bunch of drunk guys out having a good time laughing and reading something funny.The men seem as if they are entertained by drinking and enjoying one another.  i like the crown of leaves across the man's head.
joseph-wright_mrs-samuel-crompton,positive,"The shawl looks like satin, shiny and white.A constant reminder of how we might look at the age of 70.This woman looks homey to me.  she looks like the best grandma ever."
joseph-wright_richard-cheslyn-1777,positive,"Man has not missed a night of sleep since marrying up.The mans calm, collected stare inspire a feeling of confidence and security.The guy in the painting looks bored but content.The painting is very dull in color but also very detailed. however it is not much that is amazing compared to others, it is just a simple portrait that isnt sad or exciting, it just exists.He looks like a politician who is reading at his desk.The contrasting colors and the time period of the person.A very old woman sitting and reading a book."
le-nain-brothers_smokers-in-an-interior-1643,positive,"This is an excellent painting that is highly detailed and captures a historical moment in time.Although these men look stoic, this painting makes me feel amused, as they probably just had a few drinks and rousing conversation. it's like i'm there.The lighting and atmosphere of the painting is very warming."
paul-bril_landscape-with-mercury-and-argus-1606,positive,Cattle rests beside slow moving waters.Wow the stunning colors are how they flow so nicely together.This makes me feel nostalgic for weekend explorations of parks and woods to me.
peter-paul-rubens_equestrian-portrait-of-the-duke-of-lerma-1603,positive,The man looks imposing with his shiny armor and white horse.The dark colors blend amazingly and i love the horse and the rider.The rider and the horse look very powerful and strong.
peter-paul-rubens_the-virgin-and-child-in-a-garland-of-flower,positive,Beautiful flower border showing the love between a mom and her baby with a angel watching over.The intricate detail of the flowers is amazing to me.This seems to be a religious piece of art with the mother mary and baby jesus. it brings a sense of piece and wonder. what would life have been like for mary?The love between a mother and her children always brings a smile to my face.
peter-paul-rubens_thomas-howard-second-count-of-arundel,positive,"This man reminds of what a father should look like.The man looks tall and imposing with the dark background.The detail in his face looks tired, and the black clothing bring that out."
rembrandt_faust,positive,The old man is looking at a mystical disc that has a unusual characters and a glowing appearance.It looks like this scholarly man is having a brilliant idea or breakthrough while working.The man looks like he's seeing something that is going to help with his research.
rembrandt_juno,positive,"The woman has a stately bearing, and wears fancy, flashy clothing.The queen looks glorious and powerful in her dark colored clothes and the bold gold of the crown.She looks like a queen and is dressed very regaly."
rembrandt_simon-with-jesus-1669,positive,The expressionistic stokes make a surprisingly confident rendering.The dynamic shading and warm rough colors put this common biblical motif into the realm of a past memory.I really like this transition from elderly to youth. this seems to show the passage of time.
rembrandt_the-polish-rider-1655,positive,"The details of the garments, horse, and scenery are precise. the bright white of the horse catches the sun well.A very life life image, the attention to detail is magnificent.Drawing horses is hard, so to capture one so accurately as well as a person is no small feat."
claude-viallat_unknown-title-3,positive,"The bright colors are enjoyable.It is a funny painting, but also hard to do because the green spots aren't connected.The energy from the colors as bouncy and light like a warm day in summer.The colours are bright are cheerful, it evokes a fun experience."
frank-stella_harran-ii-1967,positive,"The bright colors of the painting stimulate my senses, while the different shapes it makes up makes it interesting to look at because every time i look at the picture, i'm noticing something else.Sense of excitment with the colors and shapes.The various color shows action and beauty."
frank-stella_polar-co-ordinates-vii-1980,positive,This reminds me of a butterfly spreading its wings.The top two ovals remind me of rabbit years and made me laugh.Whimsical and fun. maybe even a little exciting. reminds me of something i may have done with a spirograph when i was young.  though the blue and white dots create excitement.
gene-davis_butterfly-1972,positive,"The bright colors bring a happy mood, but i have no clue what this is supposed to represent, if anything.Felt like i am looking at wallpaper from the ninties.Just a calm use of earth tones."
mario-cesariny_linha-d-gua,positive,"The different tones of blue and white are peaceful.You can see into the horizon by the water bordering the strip of land.The colors and scene are very pleasing. the palette is rich and very engaging, with the blues being particularly lovely."
morris-louis_tet-1958,positive,"Moonlit waterfalls reveals itself.  if you wish to enter the fairy kingdom, you must offer something of sacred value...The greens and blue are reminiscent of a mountain scene.It reminds me of a large iceberg floating in the ocean.This looks like the plumes of a peacocks tail all spread out."
morris-louis_twined-columns-ii-1960,positive,When she put this up for the show i was so happy for it made us all feel so great!The colors in this remind of a rainbow thats twisting in itself.The way the different colors look like they have been braided into each other is quite incredible.
paul-feeley_the-sculpture-court,positive,People are standing beside these sculptures to show the scale. the colors are bright and vibrant.Giant art exhibit with contrasting colors that people have probably waited a long time to see.  the people are so small compared to the exhibit pieces.The red & blue squigglys are amusing. looks like a museum from the 60s which is an amusing time.
sven-lukin_detour-2012,positive,"I love the jagged edges and the three-dimensionality of the rectangle in the center of the piece are thrilling.I'm intrigued by the brightly colored, striped ramp-like object in the center of the piece.The bright colors pop out and just lift my mood instantly."
jamie-wyeth_new-growth-1971,positive,"The shadows and light all look like they are real.Beautiful, feels so real lovely scene.Nature is always beautiful but a stump is a bit awkward, great color scheme though. sunny day!"
jamie-wyeth_submerged-1975,positive,I am impressed at the high level of detail.Beautiful shadows and eerie colors. i'm not sure what's going on here but it's got me intrigued.It's a basic scene but the color and shading is masterful.
john-miller_autumn-day-beach,positive,Serene colors combined with a tranquil environment.I feel content because of the simple and beautiful scene of a beach in soft colors.The blue of the water combined with the beach sand and the mountains in the background make me feel happy and content.
john-miller_godrevy-lighthouse,positive,"The piece makes me feel calm almost. the colors remind me of niagara falls.This photo is calming, colorful, and looks like it could be anything you would want it to be. it looks safe and glorious.Beauty in the blue ocean and sandy beach."
john-miller_tropical-beach,positive,"The painting looks serene, warm and relaxed. it makes me content imaging i was there.The vivid colors make me remember the prettiest beach i've ever been on.The painting looks very realistic, and makes me feel as if i'm on a beach relaxing."
neil-welliver_islands-allagash,positive,"This picture makes me feel calm and serene. i love full moons and watching the reflection of the moon on the water gives me a feeling of peace.An evening on the lake, very relaxing.I feel content because the water and islands look peaceful under the moon lit sky.The color scheme and simple lifework reminds me of a christmas painting.I love any and every kind of painting or photo depicting the wonders of nature.  beautiful moonlit night by artist's conception.The islands look beautiful and calming during the moonlit evening.These tiny islands in the moonlight look so placid and inviting.Peace is the moonlight hovering over quiet waters after a long day. there is nothing better than when i get a restful night of sleep.I feel content looking at this because it's a peaceful place with a lot of creativity done and blended into the picture.There's a sense of contentment, just existing under the moon, out in the wild. beautiful place.Although the water is a little choppy, the rest of the scene looks like a very calm moonlit night.The calm evening with the full moon, clear starry night, calm waterand evergreen forests on the islands is peaceful.I like the cool feeling of the blue monochrome and the way the moonlight is reflected on the water.Looks like a quiet, serene, relaxing environment with a lot of nature to enjoy.The full moon is casting bright, white light on rhe water.This is such a peaceful looking scene, it makes me want to go swim across the water and see what is on that island!The moon is out and it looks like a nice breeze is rolling in.The moonlight is exaggerated in the reflection of the water and this gives the picture a bright clear feel.This is something i would dream of looking out my window and seeing if it were real.The moon is the immediate thing that makes me feel relaxed and i imagine myself laying on that isolated hill looking up at the stars.I love the heavy shade of blue becoming lighter as it nears the horizon. evergreens are my favorite trees, and the moonlight on the waves is very calming. the islands are deserted (yay), and are within sight of land, so i have the feeling of safety. the sky is way too crowded with stars to be realistic. this picture is a lovely getaway for those of us who just don't have our own island yet.The dark sky along with the moon feels peaceful and relaxing.A tranquil pencil drawing of ocean, lake or river with the moonlight and many starts lighting the night."
albert-gleizes_arabesque-brush-or-cubist-composition-1952,positive,The eclectic painting feels light hearted and whimsical even though there is an element of chaos.Interesting mix of colors.An unassuming vessel seems to spill over with what might be remnants of love letter or sprays of flowers in a colorful array.
ernst-ludwig-kirchner_traber-team,positive,"It looks the the horse is being playful and having fun.I feel excitement because i imagine myself being the rider of these two horses and without the whip, it looks exciting and fun.This makes me feel the excitement of going to the sulky racetrack and betting on the horses. i love it.The horses are galloping while the rider is enjoying the ride with their nose in the air."
fernand-leger_the-moulin-rouge,positive,The women's faces are lost amongst the chorus line of legs and skirts.Can-can girls.The character's face seems to be silly.
franz-marc_deer-in-the-forest-ii-1914,positive,"I like this - its a family of deer, and the color composition shows the hierarchy but also warmth.The bright colours in the painting are quite stimulating.It makes me feel excited because the deer look so alert and they're portrayed with unconventional colors, sharp angles, and fragmentation."
jean-david_figure(3),positive,"A woman's body is rearranged showing she is the sum of certain parts, most notably her buttocks.The woman who is naked and abstractly drawn looks like she is pregnant and is just oddly shaped.This is a strange picture.  it’s extremely blocky and geometric, yet the artist had to depict genitalia too.The fingers on the right hand resemble crayons."
joan-miro_not_detected_227962,positive,"This poster features a beach, and reminds the viewer of traveling europe.It's a stylish ad with interesting graphics. the idea of paris and barcelona and the allure of these cities makes for a exciting concept.So much is going on lots of brightness and different styles makes it active."
marc-chagall_david-1914,positive,"Great energy in this portrait, which actually captures the spirit of the music.It's just a wonderful image, full of life and makes you think of jazz!You can tell he is really playing that instrument with passion."
marc-chagall_the-blue-house-1917,positive,"The purple log cabin stands out nicely against the buildings in the background.The colors used in this painting are very vibrant.  i love the purple/blue color that is used for the house in the forefront of the picture.I adore this abstract, blocky style and the color choices are stunning."
olga-rozanova_still-life-1913,positive,This feels happy and bright because of the colours.I really like looking at this piece.  it is very pleasing to the eye.The colors of the vase and flowers are soothing to look at.
pablo-picasso_las-meninas-velazquez-1957,positive,Lots of bold and strong colors in a maze of designs that looks like a village painting.A comic painting of a dog and little boy who is lost in the wizard of oz.This is a fun piece to look at.  there are all sorts of things going on and the colors are really vivid.All of these bright colors look great together. the red and yellow especially.
piet-mondrian_still-life-with-gingerpot-2-1912,positive,"I like the perfection of this, it's simple yet elegant.I love the use of lines and geometric shapes here. builds a very architectural scene emphasized by the jade green pot in the middle.Nice simple image but intricate combination of geometric shapes, with a nice green vase."
pyotr-konchalovsky_cassis-1913-1,positive,The blue sea and brown hills look like a relaxing place.Reminds me of good summer holiday as a child with warm weather.Simple setting overlooking a dark ocean is pretty.
theo-van-doesburg_composition-iv-still-life-1916,positive,The painting uses dark shapes pleasing to the eye.The shading creates a good amount of detail in this painting.The objects seem to be intertwined with each other in a force of unity.
yiannis-moralis_not-detected-16,positive,"The characters deppicted by merging shapes is just so fun to look at.A simple sketch of two figures fornicating, using basic shapes.It looks like a man and a woman facing each other with the woman straddling the man and his hands under her butt... probably having sex.Pictures like this always amuse me, not that they are clearly engaged in sexual activity, but the shapes that are used amuse me, yet also makes me realize we are all different."
antonello-da-messina_portrait-of-a-man-1470,positive,"His slight smirk makes it look like he is thinking of a private joke.His eyes look like he is keeping a playful secret.He's got this funny grin, like he's in on a joke.Playful look on the face."
carlo-crivelli_mary-with-child,positive,It is a religious scene. it evokes piety.The regal purple colors along with the detailed faces of the woman and baby are breathtaking.The features are very well drawn.
domenico-ghirlandaio_adoration-of-the-magi-1490,positive,The imagery and detail is beautiful and you can feel the love and respect that the people feel for the central figure.All the gods.The fine little details are incredible.
domenico-ghirlandaio_confirmation-of-the-rule-1485,positive,"A life like moment in time captured.Pictures within the pictures.The characters are all looking at the priest with awe, they all have their gazes locked him.  it looks like a serious scene."
fra-angelico_view-of-the-chapel-vaulting,positive,"This is like a choir divided into sections ready to give a heavenly performance.The lines through the middle make this piece come to life, the look like crossbeams or a tapestry.The detail is extraordinary, and the gold/yellow gives off a very calming, complete feel.Intricately painted chapel ceiling with blues and yellows.Looks like the ceiling in a cathedral. a find a sense of awe and divinity."
giovanni-bellini_polyptych-of-san-vincenzo-ferreri-1468-5,positive,"Supernatural strength and protection radiate from the tall, muscular saint who carries the christ child on his shoulders. the expression of pure love and peace with which he looks up at christ reveals where he gets his strength. this is calming and comforting as one realizes we all can access this strength.The woman's muscular legs remind me of the strength of a mother.Such a strong man taking care of his charge and making sure he feel secure."
jacopo-bellini_madonna-and-child-1448,positive,The mother and child are happy and look beautiful.There is intelligence in the face of the baby and a serenity of the mother.The picture of mother and child makes me happy and reminds me of my own children.
leonardo-da-vinci_self-portrait-leonardo-discovered-a-2009-in-leonardo-s-codex-on-the-flight-of-birds,positive,"The man depicted looks very thoughtful, possibly a bit morose. it seems like he's reflecting on something internally, which inspires wonder in me. i want to know what he's thinking about, what he's looking at, etc.The way that the face is blended with the background is very inspiring.Christ written of ""in the scroll of the book"".The man looks important, and the writing around him looks like history written down."
piero-della-francesca_baptism-of-christ-1450(1),positive,The man seems to be given peace through the other man. everyone seems content all together.The man in the center appears to be getting baptized.The trees and the sky are such soft and calming colors.
piero-della-francesca_meeting-between-the-queen-of-sheba-and-king-solomon(1),positive,The soft pastel shades of the women's dresses contrast nicely with the stronger colours of the men's robes.This painting depicts a celebration of life and love.Body postures seem very realistic--note the woman in the green dress.
sandro-botticelli_madonna-del-magnificat-1485(1),positive,Beautiful piece that pops out with color especially the reds.The woman and child releases a schoolhouse look that is nested inside of a victorian style frame.Feel like this takes place a few hundred years ago. seems like a family and maybe angels.
sandro-botticelli_the-birth-of-venus-1485(1),positive,"The colors of this painting are a bit muted and dark, but the attention to detail and harmony between the people and nature in the picture capture my attention and interest.The nude figure in the center inspires a sense of wonder, as if she is the very essence of beauty.The elegance of the pretty woman in the middle attracting lots of fans with the others flying to her, is truly awe inspiring.Birth of venus.  truly a masterpiece.  the beauty of the female for on full display."
albert-bloch_cityscape,positive,"The warm colors and straight lines make me feel content.Ordinary town scene, maybe with sports game.The shapes of the houses are very satisfying.This peaceful scene of people living their lives makes me feel content. there is a small group in the background who appear to be watching something projected onto an outdoor screen, and i've always enjoyed such recreation."
amedeo-modigliani_study-for-the-cellist-1909,positive,The person in the picture seems at piece and focused on their music. this makes me feel calm as well.The man is feeling his music and it gives me a feeling of contentment.The colors are serene and the subject matter is relaxed engaged in a gratifying pastime.As the man is playing the instrument his face shows such satisfaction and pleasure.
amedeo-modigliani_woman-s-head-rosalia,positive,The large face looks funny sitting atop the skinny neck.Looks like a portrait that an elementry school child made.The head is much larger than the neck.
antonio-carneiro_rua-bret-1899,positive,"It looks like deserted village.Looks like the quiet time on an early morning before everyone wakes up.The sunlight from the top is peaceful, as well as the depiction of the quiet town."
arturo-souto_nonsense-1932,positive,"People are doing nothing on a warm day.This is quite a beautiful image, and the colors are somewhat muted. it looks like a serene morning or early evening.Looks like friendly conversation in a small village."
billy-childish_robert-walser-lying-dead-in-the-snow-2008,positive,"The harsh brush strokes, use of color, and falling top hat cause me to engage with the image.I like the movement of the white like snow and the men out on the lake.The surreal and dreamlike color patterns here really makes you feel at ease.The mix of colors comes together well to make a figure."
