painting,domi_emotion,utterance_combined
boris-kustodiev_merchant-1920-1,contentment,The detail of the painting is beautiful yet simple.  a man enjoying his newspaper.The character reminds me of a grandfather. it makes me feel safe.I like this one because it just looks like the man is relaxing with his paper and tea and he looks content.
boris-kustodiev_merchant-s-yard-1921,contentment,"This brings me contement because it is of a winter snow scene and log houses with a dog and a couple. it looks like a fun joyous day.Everyone is out on a crisp winter day enjoying the fresh air.The use of bright colors in this scene make it look warm and friendly, despite the snow."
boris-kustodiev_moscow-tavern-1916,amusement,"It looks like a group of people enjoying themselves.It makes me laugh because i think it looks like a group on men who have been friends for a long time having dinner and enjoying each others company.At first glance the soldiers look forbidding, but the cat and the man lounging on the left give the impression that this is a relaxed meal.The outfit those people are wearing look odd and a little silly. also the guy with the mustache and tea pot made me laugh a little."
boris-kustodiev_palm-sunday-near-the-spassky-gate-on-the-red-square-in-moscow-1917,excitement,"Feels exciting; like you can feel the pulse of the event through the picture.The two columns of colorful balloons floating above the crowd shopping and milling reinforce the feeling of excitement.  lots to see and lots to do.Colorful balloons are flying.  many people are gathered, apparently in a celebratory mood."
carl-larsson_brita-and-me-1895(1),amusement,Both figures depicted look like they are having fun and the vibrant colors contribute to that.The little girl is adorable and looks like she’s having fun.The face on the little girl is infectious and sets the mood for the entire piece.The happy child is precariously balanced on the man's head.The jolly faces of the man and child suggest they are entertaining a room full of guests.
carl-larsson_christmas-morning-1894(1),amusement,"There are some many kids playing, each doing something different.  it is cheerful.Bedtime as mother supposes but the children have other ideas.What happens after the children are sent to bed.The expressions on the kids faces and their interest in their individual activities makes me feel like they're all satisfied and content with how things are going. the child on the bed looks like he's having a really exciting time playing based on his defiant standing on the bed and facial expression.The innocence of childhood is captured in every way."
carl-larsson_karin-and-brita-1893(1),contentment,Peaceful scene between a mother and child brings good feelings.The colors and light used are very soothing as is the subject matter.The closeness of mother and child is warming just like the choice of colors.The baby seems to be at peace.
carl-larsson_karin-reading-1904(1),contentment,The soft watercolors and warm lighting are comfortable and homey.The blanket and book remind me of a cozy sunday afternoon at home.Seeing her just sitting there reading makes me feel relaxed like i would like to feel right now.
carl-larsson_self-recognition-1906(1),amusement,This is a very interesting image to look at with the creepy looking clown and woman in the background window.The ruddiness of the guy's cheeks corresponds well with the doll's expression and odd smile.The little goofy looking doll in this serious looking picture is quite the funny sight to see.
carlos-saenz-de-tejada_the-portal-n-vitoria-fifties,excitement,"There seems to be something festive going on. the yellow of the carriage really stands out against the other colors.I am happy to take a trip on a horse.The wonderful city that is filled with people, horses, and armour releases a western colony setting."
edmund-dulac_the-snow-queen-on-the-throne-of-ice,awe,It is a very detailed and cold looking painting of a ice queen.I feel awe viewing this image of a goddess on what appears to be pieces of a glacier because she has a mesmerizing gaze as if in a trance.The image of the solitary woman is beautiful.
egon-schiele_portrait-of-valerie-neuzil-1912,amusement,"The reddish hair and lips, combined with wide blue eyes, flushed cheeks look like a ginger man wearing makeup and resembling a clown.The brightly colored hair and lips of the person. the orange and reds mixed together work really well.The bright red and orange hair on the person goes well with their grey blue eyes."
eliseu-visconti_a-providencia-guia-cabral,awe,"There is much serenity in this photo through the people and colors used.I love the bright colors, and the soft lines give an ethereal feeling to the piece.The grandeur of the figure floating above.The angel is leading the ship and watching over it.Looks like a dream where a boat full of men is being led by a beautiful naked women. very cool and awesome.A siren or angel that is influencing a man in this painting, i like the mythology aspect."
eugã¨ne-grasset_inqui-tude,excitement,"He's in drag, sneaking away to visit his boyfriend, the soldier.The yellow flowers are beautiful and this woman looks to be enjoing herslf.The woman looks like she's hiding from someone who might find her at any moment."
ferdinand-hodler_unity,amusement,Looks like a bunch of bull fights have attended some sort of fiery sermon to prepare for the battle to the death with the bulls.It looks like a flash mob.They look like theyre about to dance and have fun.
ferdinand-hodler_weisshorn-of-montana-1915,contentment,I love the colors in this picture and how there is no top or bottom i feel like you flip it over and it would still look right you would just see the picture differently.Really love the blue mountains pink clouds. it could be real life or a dream with this one but eitherway i want to sit and meditate there. amazing!This picture does well in capturing a beautiful day near a lake which is in front of mountains.  i like how the color purple is used in the clouds.The beach looks like a great place to relax all day in the sun.Makes me feel happy with the colours and beautiful scenery and nostalgic thinking of visiting tanzania with a view like this.
franklin-carmichael_autumn,contentment,"The colors of the trees are so beautiful.It reminds me of a warm fall day with the color scheme.The golds, yellows and reds of the trees brings contentment and peace."
gustav-klimt_the-women-friends-1917,awe,"This painting is indulging two beautiful women together,.The women appear excited to be sharing each others company as they both sip opium tea.This painting makes you feel love.  the lighter colors draws you to look at the women."
henri-de-toulouse-lautrec_admiral-viaud-1901,excitement,"Something about this says ""george washington"" but on steroids. the red is perfect.I see this as george washington's self-portrait. leadership.The captain commands his crew as their opponent charges for an attack."
henri-de-toulouse-lautrec_at-the-circus-horse-and-monkey-dressage-1899,amusement,"Every great clown needs to have the right props.These are definitely circus performers, so it is fun to imagine what kind of performance they might be putting on.  the lipstick on the donkey is funny, although it would possibly seem cruel in real life.This takes me back to childhood circuses. i always loved them. such a happy time."
henri-de-toulouse-lautrec_first-comunion-1888,amusement,So much history in this pic when people dressed up in fancy clothes.  i like this sketch of the family it makes me wonder where are they going?He wanted a new automobile. she wanted another kid.They look cool and elegant with a streak of ghoulishness.  they also look like they are going trick or treating.
ivan-bilibin_costume-design-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1908(1),contentment,This leader seems as if he would be very benevolent.Light colors on a very pale tan colored background.The clothing on this person makes them look like royalty.
ivan-bilibin_illustration-for-the-magazine-art-treasures-of-russia-1903(1),contentment,The vertical geometry draw the eye towards the title words at the top of the work.I really like the detail in the peoples armor and overall other things in the image.There is a sense of safety and security in this image.This looks like a flyer of kind that could be very old but in a different language that i can't understand.
ivan-bilibin_illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1906(1),contentment,"Someone is presenting a golden rooster to a king wearing a golden crown.Even in ancient turkey people traded items for other things.The man on the left is deep in thought with the king, making me feel contentment for his rank."
ivan-bilibin_monastery-of-st-george-hosevita-palestine-1924,awe,The sight of a town in the middle of the cliffs symbolizes the resilience of humanity.The sand colored building was camouflaged in the mountainside.It's incredible that homes could be built into the side of rock like that.A very nice sense of scale and perspective.
ivan-bilibin_palace-of-chernomor-sketches-of-scenery-for-mikhail-glinka-s-ruslan-and-ludmilla-1900,awe,This looks exotic with the patterned tile and the gold shapes roud the entryways. the backdrop of mountains makes it seem inaccessible and hidden like a perfect archaeology find.Awe and contentment if i could pick two. a peaceful setting with impressive architecture in a exotic loaction.I'm amazed at the detail and realism. it's almost a picture.Those buildings are absolutely stunning! i love the architecture as well as the details. i wish there were places in my country which looked like this.
ivan-bilibin_prince-ivan-and-the-firebird-illustration-for-the-russian-fairy-story-the-firebird-1901,awe,"It is sort of mystical.Catching a peacook in flight by its tail feathers.This drawing is pretty unique, and reminds me of history's drawings for churches."
ivan-bilibin_sketch-for-the-spectacle-honor-and-revenge-by-fiodor-sollogub-1908-1,amusement,"The man is posing despite is excessively flamboyant close and fat body, which is hilarious.Its like a fat jolly conquistador with a floppy sword, reminds me of the don quixote style goofiness of the time.The man's big belly and his colorful and oversize clothes make this an amusing painting."
j.-e.-h.-macdonald_cathedral-peak-lake-o-hara-1927,awe,"Gorgeous scene - something out of montana or wyoming. a lovely panorama.This valley is really pretty, it reminds me of a place i'd like to go in real life.The peach colored mountains and the teal blue river create a really nice look.It's like looking at a nice view during a sunset. the use of color on the water, the mountains and the valley below is very nice."
j.-e.-h.-macdonald_the-solemn-land-1921,awe,This beautiful landscape painting makes me feel awe and transports me to times i've experienced gorgeous landscapes in person.The tan colored water flowed though the hills filled with the colors of fall.For some reason the style of this reminds me of feudal japan. the details in this are kind of animated but very real altogether. the water looks hyper realistic.
jacek-malczewski_hercules-on-the-crossroad,amusement,A proud dad stands by as young love is taking place behind him.The man looks like he's trying his darndest not to look at the two attractive women kissing.The man in the armor is not happy to see them kiss.
jozsef-rippl-ronai_mansion-at-geszt-1912,contentment,"The whole painting is a series of dots and the colours are pleasing.The brush strokes in this painting make it look like it was made of mosaic tiles instead of paint, especially in the green near the bottom.Scene of what appears to be austria painted in earthtones with a large white stone abbey."
jules-cheret_hippodrome-de-la-porte-maillot-paris-courses-1900,excitement,"The different typefaces, the lady on the galloping horse along with the horse riders in the background all lend an air of excitement.I really like the bright colors in the image! the splotch of bright red contrasts really well with the teal colors in the rest of the image!The smile on the ladys face looks real enough to be in the picture."
jules-cheret_taverne-olympia-restaurant-1896,amusement,"The couple in the artwork look like they are having a good time.  and the old fashioned costumes are nostalgic and fun!This feels fun to me, it's en francais, the woman's bright red dress makes me feel happy.It is a fun drawing of a movie, or advertisement. i like how high energy it is."
kay-nielsen_east-of-the-sun-and-west-of-the-moon-1914-3,awe,"The womens reflection looks like it has turned away from her as if ashamed of her life.Wow! definitely in awe of this ancient scene. it looks like an angel figure approaching a wise man at a like. the intricacies of the lake, the clothing, the plants around the lake... wow!This is a majestic scene of a knight by a magical pond."
koloman-moser_the-sketch-of-the-round-window-art-1897,awe,"This looks egyptian to me, the way the woman in the middle is posed, the blue wings are lovely, and her hairstyle looks egyptian to me.This looks like a beautiful mother nature angel, just letting the world grow from her womb.It looks like a stained glass art it is beautiful."
leon-bakst_cleopatre-danse-juive-1910,amusement,"I love the beautiful colors of his robes, the peacock blue and gold.The man is happily dancing and his clothes are interesting and amusing.This person is obviously cavorting very happily. it makes me want to cavort too."
leon-bakst_scheherezade-scenery-1910,contentment,"Posh location where the owner is probably having a good time all the time.It looks like a lavishly decorated palace, and i am eager to know more about it.  the way it is presented throws off the sense of scale, i can see it being either a small room or enormous - the green up above and the red below makes for a pleasing contrast.This artwork is very bold and vibrant.  i like the contrast of the reds blending with the blue tones.I enjoy the greens and pinks of this intriguing scene."
nicholas-roerich_arrival-of-prince-michael-glanda-kambily-to-russia-veliky-novgorod-1913,awe,I like the many fine details surround the main image of the people.I love the bright red and orange building and intricate details.These ancient arabic paintings are simply awesome! the vivid colors in this painting speaks volumes of the time and detail that the artist put into this piece.
nicholas-roerich_musiians-1921,excitement,"This reminds me of a blueman group moment where one of the drummers is going to bang the drum so hard, the other two that are going to wind up affected in the wrong sort of way!The men seem to be playing drums as if in a festival.The faceless people seem to be having fun playing the drums."
nicholas-roerich_queen-of-heaven-over-river-of-life-1914,awe,"Looks like an egyptian important figure or cleopatra or something.This woman has so much detail on her face and with all her jewelry she must be royalty.The level of detail in the figure's crown / halo.She is regal, finely dressed and glows like the sun."
nicholas-roerich_vitrage-1929,awe,"The saint's visages make me love god all the more.The is a sacred religious portrait of what i think to be mary and joseph.An intriquite and beautiful stained glass of the christian religion.The figure's halo's and regal robes give me a sense of royalty and reverence.The figures are elevated by halos on their heads. the scene depicts an important encounter or event. the stars balance the dark colors - it is night time, not dark time."
paul-mathiopoulos_portrait-of-kiki-papastratou,awe,I like the angelic whispiness of the lady's stance and dress.Her bright clothes looks majestic and heavenly in a way.This woman looks strong and confident in her beauty and grace.
raphael-kirchner_a-girl-holding-a-rose-1916,contentment,The purple makes me feel very curious to know more about her.I enjoy the red rose and her black shawl.The purple dress and black shawl contrast each other very well.
raphael-kirchner_fables-1903-2,amusement,She's leaning in to whisper something to the pelican beside her.I feel like this woman is talking to that bird which is just odd and silly.A woman petting a pelican on the shore.
raphael-kirchner_geisha-10,excitement,I just love the color palate differences and how interesting the painting is.The colors blend so well together and compliment each other well.I am excited by the flirty looks on the geisha girls.
raphael-kirchner_girls-with-purple-surrounds-1900-9,contentment,"This is a picture of a young lady who seems content in the forest.The purple color makes me think of easter and spring.The light pink makes the woman look very delicate and feminine.The use of purple in this painting makes me feel joy because it is such a happy color. the woman in the painting also has a contented look on her face, and she seems really into what she is focused on. it makes me feel like all she is concerned about in the world is being pretty."
raphael-kirchner_impassive-mask,excitement,"She looks powerful with her top exposed and having body hair and she face says she doesn't care what anyone thinks.The ghoulish masks luridly stares downward, between the woman's legs, as she playfully frolics on the floor.The erotic pose of the lady is alluring.This half naked lady makes me think of sex and that is always exciting.The woman looks to be happy exposing her breasts, it is very arousing."
raphael-kirchner_marquisette-1,excitement,"The lady is either dressing or undressing, wanting to make sure that she looks perfect. it creates a wonderment over what would be happening next.I love the female human form including breast so i am excited!The woman has beautiful breasts, it is very arousing."
raphael-kirchner_portraits-of-viennese-ladies-1901-4,contentment,"The colors that are subtle with the calm face feels like happiness is in the air.The lady has her hair done and is waring clothes up to her chin.This beautiful woman is quite pleasing to look at.She looks quite pleased with herself, so i would be pleased..altho i cannot understand what is written."
raphael-kirchner_single-items,excitement,"The flowers design that the women is holding.The eye is drawn to the green foliage, a fun and appealing artistic expression of a woman.This could be the inspiration for the leg lamp from a christmas story.This half naked lady makes you think of sex and that is exciting."
raphael-kirchner_stained-glass-art-1,contentment,"The colors all work nicely together and almost give the woman a mermaid, or natural woman of the sea, appearance.The stark subdivisions of the window's colors and bold lines really do look like stained glass.Looks like a stain glass window you might find in a church or very old building.Looks like an elegant woman that could eventually be put in stained glass."
raphael-kirchner_the-players-pastel-on-paper,amusement,"Ah, this scene makes me think leisure and privilege and time unlimited. fun and games and happy expression.Looks like that part of the haunted mansion with the ballroom but instead the ghosts are playing craps.Who are these people.  one woman looks very nosy and the other pretending not to care.  made me lol."
raphael-kirchner_unknown-2,excitement,"There is duality to this image, a boldness intertwined with an aggressive twist.I like the contrasts of woman and animal, smooth versus hairy, pale skin versus dark fur, and so forth.The bear rug depicts danger so excitement is present for the woman on the rug. she is teasing the bear."
sergey-solomko_portrait-of-italian-young-man,contentment,The look on this person's face from the side shows content and calmness in their eye.The profile is nicely done and his eyes look very realistic and like they have a lot to say.The young man appears strong and confident as he gazes into his future.
sergey-solomko_vanity,awe,"This woman is striking, since her dress is so elegant and commanding.The woman displays power as she poses for the painting.The peacock theme in the painting brings a lot of life the painting.The females skirt looks like it is made from peacock feathers."
wilhelm-kotarbinski_cleopatra,awe,The picture is very detailed i love the birds and the kids face.The wings of these birds look like very sharp knives!A boy lays before a woman with cranes all around them.
wilhelm-kotarbinski_dawn,awe,"The men and women appear to be holy, flying to the sky on wings.I think using only black and white makes this picture more powerful.  it makes the angels in this picture look even more majestic.The way the white is used in the painting to portray light casted around the three people is mesmerizing."
wilhelm-kotarbinski_portrait-of-young-woman,excitement,The woman's bushy brown hair and giant breasts makes her seem sensual.The woman's pale skin and bountiful breasts make for an exciting sight.Love her look and pretty eyes.The woman's ample chest covered by a thin dress makes for a sensual sight to see.
wilhelm-kotarbinski_sphinx,excitement,"Sphinx, the head of a woman, there is something exciting to me about this picture.Very intruiging picture. the calm expression on the sphinx like he’s guarding the woman while she peacefully sleeps, and the sepia tones give it a very aged feel.The face of the sphinx looks handsome and near-alive."
zinaida-serebriakova_levi-alexander-benois-de-stetto-1916,awe,"This portrait looks great, but i feel like it is not finished as below the neck kind of feels like the artist gave up at the end.Painting looks realistic, good portray of human figure.The details of the face are incredibly realistic."
adriaen-brouwer_smokers-in-an-inn,amusement,"The men at the table are all doing something different; one is smoking a pipe with his foot on a stool, the other is reading, two are napping and one is drinking. it is a comical scene.One guy in the painting looks like he is having a good time. makes me feel amused to see his amusement.The people in the painting look like they are having a good time and it reminds me of times i have spent with friends in a bar."
adriaen-brouwer_the-smokers-1,amusement,This image amuses me because of the people in the paintings. all of the people have silly facial expressions which is kind of funny.Beautiful colors and entertaining subject matter.It seems these gentlemen are up to mischief which brings a smile to my face.There is a sly amusement in the figures faces.
adriaen-van-de-velde_the-martelaarsgracht-in-amsterdam,contentment,"The clouds and bright sky give it a nice feel.The scene is calm and relaxing with nice weather, i could imagine myself on vacation in a place like this.Calm still canal water and clouds puffing in background."
adriaen-van-ostade_merrymakers-in-an-inn,amusement,"This reminds of a gathering or a family party and there is a lot going on to look at in the drawing.It is always amusing to see how people used to court each other in the old days.The painting is a celebration of life and dancing.The environment is lively, it looks like people are dancing, and the colors are warm and comforting."
adriaen-van-ostade_wandering-musician,amusement,"The man is smiling and looks a little drunk!I think the facial expressions convey happiness, but i'm not positive. so i'm entertained by the confusion.I think the man's expression is funny, colors are really working well."
annibale-carracci_man-with-monkey-1591,amusement,A man being cleaned by a monkey.This man looks delighted by his monkey.Both the monkey and the man appear to be having fun.The happiness in the mans face is captured well.
anthony-van-dyck_charles-i-and-queen-henrietta-maria-with-charles-prince-of-wales-and-princess-mary-1632,contentment,"Wonderful portrait of a family, i love the texture in color of the woman's dress, the yellow is so vibrant.It looks like a family photo. the woman looking at her husband just feels like she must love him a lot.A beautiful nuclear family portrait.The bright yellow gown the woman is wearing. the bright sunlight off in the distance of a pale blue sky."
antoine-pesne_portrait-of-johann-melchior-dinglinger,amusement,This is very richly done but the portly man strikes me as humorous.The man's outfit can really bring out a smile as it is silly as hell.The overweight man looks like an overgrown kid.
bartolome-esteban-murillo_promenade-st-joseph-and-the-infant-jesus,contentment,This piece is interesting because you can still see grid marks in the background. it gives a little insight into how the artist made this work.A father holds his sons hand as he walks through the woods.The whites of the people and the green border around it.
bartolome-esteban-murillo_st-justina-and-st-rufina-1675,contentment,The women look to be showing off something that they are happy and proud of.Beautiful women can see the architecture of the future.These women like auctioneers trying to sell off sculptures and pottery. their overall boredom is expressed by the dark room.
bartolome-esteban-murillo_the-holy-family,contentment,A father and mother are sharing the duties of raising a precious child.It's lovely to see a harmonious family unit.A loving family with a baby wanting his mother.The father's posture clearly shows his love for the baby and his facial expression shows his love for the woman. the baby is reaching out in a familiar gesture for someone he loves.
bartolome-esteban-murillo_the-immaculate-conception-1,awe,The light around her head feels very angelic.The virgin mary being hailed from heaven for her elevated motherhood.The glowing light reminds me of religion and the vastness of the unknown.
bernardo-strozzi_joseph-telling-his-dreams,amusement,It feels like there's a message there: the rich vs the hidden poor.This picture is amusing to me because it depicts two men enjoying grapes and another hiding under the table/basket getting what they drop.The darker colors around and the man under the tables face in fear.
canaletto_entrance-to-the-grand-canal-from-the-west-end-of-the-molo,awe,The realistic details of the ancient sea-side town is awe-inspiring.This sparks the imagaination. watching business and daily happenings on the docks.The town look like they are busy getting ready for work.The level of detail here is astounding and the orange glow captures a very warm feeling.
canaletto_fonteghetto-della-farina,awe,The way the painter has used light in this piece is striking.The details in this painting are very clear and so precise. everything from the details on the boats to the details in the buildings such as the contrast in color for the different bricks. it is quite amazing.The medieval setting is very interesting. i like how the water and the sky sort of blend into each other.
canaletto_molo-with-the-library-molo-looking-towards-the-zecca,excitement,There is a lot of action happening at this dockside street.I love this picture. it takes you back to a different place. i'm genuinely curious as to what all is going on.The wharf is crowded and busy and there's lots of activity.
canaletto_the-doge-s-palace-with-the-piazza-di-san-marco-1735,awe,"I'm in awe at what buildings and boats humans have created.Although the buildings look dull, the architecture is beautiful, and the water with the people and gondolas are breathtaking.Elegant-the architecture is beautiful, the blue water is calm, there is a lot of attention to details with the human figures.The architecture of the buildings make me in awe of the work done on them."
canaletto_the-grand-canal-seen-from-rialto-toward-the-north-1725,contentment,"This looks like a perfect vacation day.Incredible detail for a sketch drawing says so much with no color, almost feels like venice and gondolas.The gondola on the canal and the architecture of the buildings leave no doubt that the scene captures a part of venice.Looks like venice or a place like that that is drwn by pen, black and white."
david-teniers-the-younger_country-celebration,excitement,The image captures a joyous moment in time where people are dancing freely and socializing.There's a lot of energy in the painting from the large dancing crowd of people.Looks like an old school town carnival with people dancing and gathering together.
david-teniers-the-younger_the-picture-gallery-of-archduke-leopold-wilhelm-1640,awe,"The concept of this picture, being pictures inside of a picture is really interesting.A painting full of other paintings, this is amazingly painstaking.Look at all the detail in this painting!  it is a painting of at least 30 other paintings, most of which contain numerous people engaged in a plethora of activities.  to paint the details of all these faces and body positions boggles my mind."
david-teniers-the-younger_the-temptation-of-st-anthony,amusement,"The frog riding on a beast is very amusing. the soft tones makes this painting seem friendly despite how odd it is.It's like a spooky halloween painting. with the bats, the frog drinking and the skulls.I like the colors used in this piece of artwork and how animals are riding each other on here."
diego-velazquez_portrait-of-infante-don-carlos-1627,awe,"The man's strong pose and dark, fancy clothing make him seem important and worthy of awe.The realism captures here is really awe inspiring and the shadows reinforce a feeling of reality.The small details in the potrait of this man are very well done."
diego-velazquez_the-buffoon-juan-de-calabazas-calabacillas,amusement,"The hair, posture, and facial expression create an air of general amusement.The subject's pose makes no sense, as though he's clowning for the camera.The man seems to be over-valuing his worth, like a fall is coming.This person is very pleased with his position in life."
esaias-van-de-velde_farm-on-a-river-between-trees,contentment,The curvy nature of the lines is really relaxing for some reason.It is a calm and peaceful scene that makes me nostalgic.This looks like the sort of place i would go to think. i like to old mill with wisps of smoke coming from the chimney and the tranquility of the glassy water.It is a nice country scene with a barn beside a lake. very peaceful looking picture.
esaias-van-de-velde_farmhouse-with-dovecote-on-a-river,contentment,"I imagine i'm out there in the boat on the water.The village is quaint with a sense of contentment.Even thought the buildings look like they are ready to fall apart, this artwork looks like it is trying to portray a simple life without worry or fear."
francesco-guardi_piazza-san-marco-1,awe,The spire on the right is detailed. the columns are well defined. the lighting is accurate with the shadows of the people being consistent.The level of detail is breathtaking and the sky is gorgeous.The detailing in the buildings makes it looks very realistic.It looks like a picture. it makes me want to travel and see that clock tower.
francisco-de-zurbaran_the-mercy-of-fra-martin-de-vizcaya-1639,awe,The religious symbolism of distributing loaves and the rich red-brown colors.This priest is giving alms to the poor and has taken a vow of silence.The man is giving bread to the hungry people.
frans-hals_a-banquet-of-the-officers-of-the-st-george-militia-company-1616,awe,The artist is very skilled at recreating detailed images of humans.The artist has created a very detailed lifelike image.The figures look important and they some look at the viewer.
frans-hals_family-group-in-a-landscape,amusement,"The people appear overdressed or dressed inappropriately for the terrain.The matching colors of the ladies dresses--including those of the slave--show how some things stay the same through time.""come on, let's just stand still here and get this over with!"" is the thought to me of the second from the left. wants to get on with his day and not pose for paintings."
frans-hals_peasants-at-a-wedding-feast,amusement,The characters seem to be having a good time.These people look like they are partying hard! i love the people dancing in the background and the man in the foreground too drunk to stand.The grouping of heavy drunk dancing people make you wish there was a video of this scene.
