painting,domi_emotion,utterance_combined
jean-paul-riopelle_conversation-1946,fear,"The black figures looks like evil spirits.The black lines look scary, intense and aggressive.The black looks like nettles growing on a beach.There is so much confusion in this work.  the colors and the lines seem almost frantic."
jean-paul-riopelle_pavane-1954,fear,"The darkness at the bottom of the central panel reminds one of a mysterious, oppressive abyss.The chaos of the colors gives me a very unnerving feeling. the sharp contrast of colors makes me feel fear and anxiety.This made me think of the amount of plastic in our ocean."
joan-mitchell_untitled-1964,something else,"The color blue is too much compared to the other colors of red, white and yellow.This just looks like a mess.  nothing really stands out to me.  i'd look at this painting and never look at it again.A mass of colorful confusion makes me feel annoyed and stressed out by this painting."
joan-mitchell_untitled-1964(1),disgust,"This image lacks coherent structure or purpose and looks like a mess of accidental colors splashed on top of each other.I dont like it, it just looks like a blob of brush strokes.It looks too disorganized and random."
joan-mitchell_untitled-1973,amusement,"The combination of colors and playfulness of the image.I like the contrast of the warm yellow/orange/red colors with the cool blue. reminds me of the beach on a summer day.Though i am not a fan of watercolor, i do like how the artist achieves solidity in the subjects.  i can see the hair, scarves, skirts, and shoes without the annoying wishy-washy watercolor effect.  i like the way the background keeps the eyes moving, but wish the shoes could be grounded on something--they look like they are levitating.  if they are levitating, there should be action lines to denote this, but these are not visible."
joe-goode_untitled-torn-clouds-1974,something else,Cloudy skies with two streaks of white in the middle. it seems dreamy and mysterioys.It makes me wonder if a large beast scratched this glass.Look like it could be sperm cells amongst clouds in the sky showing our dna is everywhere.
john-mccracken_mandala-i-1972,excitement,The multiple colours looks like a target pad.I love the bold defined color blocking. rainbows are so joyful.Looks like a dart board. makes me want to play darts.
louise-nevelson_night-presence-ii-1976,something else,"This piece resembles some sort of reconstructed but functionless furniture, leaving me a bit confused.This feels so out of contxt in this location. non-sensical.There is a weird wall-like sculpture made out of wood, is an abstract piece and looks like is inside of a building."
mark-tobey_after-the-harvest-1970,something else,"The color. the way the lines are being used.I feel joy from this painting. the lines are very botanical and expressive of a jungle. the green has enough variation to bring the piece to life, especially with the white highlights.It looks like the close up of a leaf - the patterns are intricate and interesting."
milton-resnick_bruno-1982,something else,Dark looking and not very appealing to look at.A mysterious look of grays and opaque whites in a simple piece of artwork.I guess i should have brought my umbrella after all.This looks like a piece of slate so i dont feel anything since there is nothing other than grey to look at.
milton-resnick_composition-1963,something else,"I like that the closer you look the more detail and colors can be found.A nice use of color with the reds, yellow and greens but a little bland.Canvas comp,etely covered with olive green color and tiny embellishes of orange and brown. its staid and a little dull."
milton-resnick_dark-forest-1975,something else,It makes me feell tense.  the patterns make me think of static.I feel nothing but confusion since it is just a black textured photo.I feel confused because it's just a black photo that's textured.Bored. it looks like a stone surface maybe granite or rock. there is nothing to catch my attention.
paul-jenkins_not_detected_235722,awe,Even though i don't know what it is but i like the strokes of colors it has.The deep bold colors have so much depth and beauty.The white dots on the painting make me want to guess what this is.
perle-fine_the-roaring-wind-1958,something else,"An interesting picture if this is the type of art you prefer. the gold, black and white tones are calming.I look to this is see myself feeling confused as to what is happening. i like because of the shapes and the coloring. it looks like it can be anything, that confuses me on feelings.The colors are interesting as the beige contrasts with the white and grey."
rafa-nasiri_untitled-028-1981,something else,It looks like a possible religious site but it's also too unclear to making definitive judgments.Abstract painting with a matte red colored box and beige stone steps on a black canvas.The large building on the bottom remind me of ancient buildings but they remind me of dark times due to the black sky.
richard-diebenkorn_albuquerque-no-11,disgust,"I don't like abstract art. i could stare at a dirty shower and see the same thing.The ripped and falling textures look like peeling flesh.It looks like a run down house that's been abandoned, like the walls. gross."
richard-pousette-dart_celebration-birth-1976,awe,This picture is busy yet calming.A field of daisies are growing wild in the heat of the city.All of the little dots make this very interesting to look at.Love the colors and the small dots that make it look like some reef in the ocean.
richard-pousette-dart_white-gothic-no-5-1961,something else,"The lines in this painting represent confusion to me. you can almost make some shapes/object out and then the lines change and you can't.Dont like this at all, its too messy and looks like a childs crayon drawings.The picture is a bit distracting as it kinda hurts my eyes a bit."
robert-nickle_b5-1964,something else,"This is a simple gray painting, but the design isn't simple at all.I feel like i am looking at a stone floor and that's it. it has nothing in this photo that makes me feel any emotion.This painting reminds me of a depressing grey sky patchwork quit."
ronnie-landfield_untitled-1969,excitement,"The streaks of white, yellow  and red look like fireworks.Fireworks bright enough to streak the sky at sunset.The bright yellows and oranges and the curious streamers evoke the idea of fire, energy, and change.A burst of heat and energy in this beautiful painting of sunburst tones of yellow and mango orange."
salvador-dali_arabs,disgust,"It just looks like curdled milk; so gross and nauseating looking.The jumbled, twisted shapes of the picture do not depict anything clearly, but somewhat evoke the idea of rotten food or filth thanks to their putrid colors and shapes.Interesting texture but it looks like squeezed toothpaste noodles covered in mustard vomit."
salvador-dali_faciamus-hominem-genesis-1-26-1964,disgust,"This person has some very dirty feet and perhaps some fungal issues.  he also appears to be missing an eye, not a very attractive painting.No one understands why he woud bring this back to everyone's memory, we want it gone.The large foot and man's face are gross looking.The figure in the middle reminds me of afterbirth.It looks like a big pile of poop and it makes me feel nauseous to look at it.The painting is nothing more than a blob and a foot making me feel disgusted."
salvador-dali_religious-scene-in-particles,fear,The subject on the left hand side looks like a demon emerging from the shadows.The tiny dark spots look like a ton of blood spatter.It feels like a scary clash between dark forces such as bats versus other birds in the white.
sam-francis_eye-of-zengai-1964,something else,"This border is a blue, black, red and yellow splash of paint on a white background.The dribbles of color evoke no emotion in me.This painting seem chaotic and makes me feel uneasy inside."
sam-francis_flash-point(1),disgust,"It looks like a bloodstain around a light switch, with growths of black mildew - gross.It almost looks like an overhead shot of a sink, full of blood and gory bits from a recent slaughter.This looks like a plate of human blood which is gross."
sam-francis_sulfur-sails-1969,excitement,"The painting uses geometry and shape to convey infinite possibilities.Could be used for party invite, with it's splattered colors.The white center of the painting provides a contrast to the assortment of colors that act as a border for the piece.  it suggests potential to a viewer.It looks like a celebration and like it is a border for a fun message."
sam-francis_untitled-1947,something else,I am confused.  i like the soft colors in the picture but have no real focal point or idea what is happening.A faded image of various different objects makes this painting filled with wonder and excitement.Nothing - the painting color palette  is dull and un-inventive.
sam-francis_untitled-1990,excitement,The mix of colors is exciting and some give a motion feeling. a smear here and there adds dimension.The free spirit of the splattering coupled with the rainbow colors are exciting.The splatter of red green and blue complement each other and the horizontal and diagonal lines suggest movement.
sam-francis_untitled-1990-1,amusement,"The watercolors are bright and contrasting and give a sense of motion.I love all of the bright colors, but this picture looks like an organized mess.Reds, yellows, blacks and blues  dance across the canvas in this piece i can see shapes in the piece that almost look like colorful animals.The shapes look like pipes and people."
sam-francis_untitled-sf-236-1978,disgust,"This looks like fabric design for generic boardshorts from the eighties.Another abstract expressionist rehashing the ideas of jackson pollock, annoying.This looks like a knit blanket that has gotten completely dirty."
sam-francis_untitled-sf76-176-1976,fear,Fear that something bad happened with what appears to be blood splatters and pools.The splatters look like a pool of blood.This looks like blood which make me fear that something is wrong or someone is hurt.
sam-gilliam_st-albans-1976,something else,"The painting is boring and it comes off as a bunch of random colorful lines.It feels likealot going on kind of a crazy moment.Very busy picture, colors are soft but annoying."
terry-frost_leeds-landscape-1956,something else,The gray likes shades make the picture look boring.I don't know what this image is of it is confusing.I dont feel like the lines mean anything.
terry-frost_winter-1956-yorkshire-1956,disgust,There's not a lot going on in this painting and the colors are very dull and bland.It looks like a closeup of a shirt that is dirty. not appealing to me.This is an ugly painting that looks like dirty curtains.
theodoros-stamos_edge-of-burning-brush-1986,something else,"Irritated - i really don't like this form of abstract although it does look like the coast of africa.The brush strokes look like there is a a lot going on in black.I am a bit confounded by this one, the red an blue likes remind me of the ""hair"" present in paper currency, but as for the rest, i dont know what i can see in it."
theodoros-stamos_moon-garden-1946,something else,Looks like a mountain man trudging his way through the winter slosh.I am curious what i am looking at.  i don't know what it is or what what the artist was thinking.Lots of snow on the ground of an icy day in the country.
vasile-dobrian_hypostasis-1986,something else,"I don't really feel anything, because all i see is five minutes of work with no actual purpose. it kind of looks like a bookshelf.An abstract painting that looks like a billboard with all the type highlighted out. i just find it confusing and meaningless to me.It just seems like a child's painting, not sure what this is."
walasse-ting_morning-series-1974,excitement,Rainbow colors in a playful explosive pattern of joy.It looks like it is raining raindrops of pure color! the colors are exciting and bright. it reminds me of a rainstorm of joy.The artwork is very bright and active. it reminds me of candy.
willem-de-kooning_asheville(1),disgust,This looks like people marching to war with violence and weapons.The painting has lots of sharp and heavy black lines which look overbearing and don't harmonize with the other colors and shapes in the painting.I do not like the distortion of the shapes or the use of the dark colors.
willem-de-kooning_fire-island,disgust,"The various shapes barely resemble a bird, if anything at all.The white parts of the painting remind me of body parts.It is easy to see inappropriate-looking items in this painting."
willem-de-kooning_the-wave,disgust,"The painting looks like a group of random, uneven shapes with no meaning.A blue background with different spots and shapes in different colors, grey, mustard, black and red.The curved lines throughout the work contrast unpleasantly with the reddish orange square - the entire work is discordant and irksome, as if it were made by different artists who refused to communicate with each other."
willem-de-kooning_untitled-i,something else,"I believe someone just got some random colors and smeared them on some paper.Abstract conbination of colors, yellow, red, blue and green on a white background.The picture feels boring there are only colors and no story being told.Bored. i could make this blind and with one hand."
willem-de-kooning_untitled-v-1983,something else,"I feel confusion as all i see are random splotches of color. there is no shape or pattern that i can discern.Confusion, i don't know what is going on, colors are aggressive.Enticed.  the abstract contains sexual undercurrents.  specifically, the artist's use of imagery makes it seem as if feminine form is emerging from the yellow colors of the piece."
willem-de-kooning_untitled-woman,disgust,"Everything about the naked women is disgusting in this.The distortion of the figure takes away the human qualities and makes the figure look like a bag of meat. the use of red intensifies my repulsion and adds to the graphic nature of the image.This reminds me of the man known as sloth in the film se7en, one of the most grotesque scenes in movie history ever."
willem-de-kooning_woman-3,disgust,"It looks dirty, like the bottom of a trash can that needs to be washed.I don't know what this is, it's not interesting in an abstract way, the color is lacking, and makes me think of a leftover meat sandwich in the fridge.It looks like unseasoned chicken meat. the top looks like a chicken's organs."
william-congdon_piazza-san-marco-no-5-1958,sadness,"For some reason, this painting makes me think of a cemetery, or somewhere being caged in. it is very minimalist, so i could be getting the wrong impression. but the grey colors and lines leave me feeling like i am left alone in a lonely graveyard.This painting's white color is freezing cold. the greys are alomost suffocating.This looks lonely and unsafe because it seems like an isolated yard during winter and it has a wierd object in it that has cover over it. so it is a little creepy."
william-congdon_the-black-city-i-new-york-1949,something else,"Looks like a lone surviving robot rolling across a scorched earth.Confused not really any feeling of what the artist was going for.I feel nothing for this, it just looks like someone scratched up a wall and called it art."
franz-kline_mahoning-1956,anger,"The intensity of black colors reminds me of the ruins after a fire.The hard and thick black strokes against white makes the strokes look even rougher and more aggressive. gives me a feeling of anger.The brushstrokes appear harsh and haphazard, and the dark smeared black evokes hostility."
franz-kline_orange-outline-1955,something else,"The black lines and the shade of yellow doesn't make nothing.It makes no sense to me. i feel nothing when i look at this.The dark/light color interplay.I feel a sense of frustration, like there is a complicated ""knot"" of problems that are creating an internal struggle."
a.y.-jackson_nellie-lake-1933,excitement,The shapes used for the mountains suggest a lot of activity.I want to explore the valley.The scene depicted looks like a land with great adventure.
a.y.-jackson_wilderness-deese-bay,sadness,"It appears that there was a bad fire here that did a great deal of image.The scenery looks dead and barren.This instills a feeling of death and destruction, sadness and loss.It looks as if damage from fire of lava has occurred destroying natural beauty."
aladar-korosfoi-kriesch_memory-1905,sadness,I feel the sadness of the angel.The angel is crying.This painting makes me feel sad because it lacks color and does a very good job of portraying pain on the angel's face.Best brandy makes me feel sad for the angel who was being punished.
alexandre-benois_cover-page-1904(4),amusement,"I like the curious layering, like the people on the top of the hat.The cyrillic writing in this painting leads one to believe that some state-sponsored entertainment such as a play is being advertised.This picture has a happy holiday feel with the jewel tone colors of detailed people grouped together at the top and bottom."
alexandre-benois_peterhof-palace-mon-plaisir-medium-room(1),awe,"Wow, i would love to walk i to this room. the blues are calming and that ceiling is amzing. you want to go look out those windows and stand by that fireplace and look at the ceilings and paintings.The store work and ceiling of the building in the painting makes me feel amazed.A room with elegance."
alphonse-mucha_ruby,awe,"Shows a mixture of beauty with the flowers but also a sense of authority with the posture and facial features of the woman.I am extremely appreciative of the way femininity is depicted in this one, especially the position she is in and her body language. the way her head is thrown back, she definitely looks like a tough woman by nature.The red of the flower and her expresion brings so much power."
alphonse-mucha_salome-1897,excitement,"Lovely use of gradient colours and styles, love the line work.Bringing music, excitement and the element of dance to life.The woman looks lively and happy."
alphonse-mucha_studies-1902,something else,I feel anticipation because it looks like whatever food is in the serving dish will be delicious.I'm just confused because i just can't tell what i'm looking at.I feel observant because the image contains great detail and appears to depict objects accurately.
aubrey-beardsley_design-for-the-cover-of-the-barbarous-britishers-by-h-d-traill,something else,"This piece gives me an intruiging feeling.Intrigued. is it a book plate, with a cryptic set of intials of the book owner at the top? and what is being carried in the box by the maid? shoe-cleaning brushes? and why the question mark at the bottom? it's a puzzle.Spooky, almost like a strange tarot card."
aubrey-beardsley_lysistrata-defending-the-acropolis-1896,amusement,"It looks like these women are getting their revenge on an evil man who thought he was superior.Her farting towards the man is hilarious.This depicts a person farting , which is quite amusing.This is very juvenile but farting on a man to keep him away is funny."
aubrey-beardsley_the-woman-in-the-moon-1894,disgust,A large person is on their deathbed while people look on with aversion.The contradiction between the genitals and the person's face sounds disgusting to me.This photo makes me feel disgusted since there appears to be a man/woman with there genitalia showing and a weird face in the distance. it seems a bit gross and perverted for no apparent reason.
boris-kustodiev_a-merchant-in-a-fur-coat-1920,amusement,The big man looks funny.This man is so big! just have to smile.The man is comically fat and large.
boris-kustodiev_easter-greeting-1916,amusement,"Very colorful and sweet, like a cherry or rose.The expression in this mans eyes made me giggle a little.Love the dress and the shawl, wonder about the really tall cake on the table."
boris-kustodiev_meeting-easter-day-1917,amusement,"Love, joy and laughter is what i see while looking a group of people enjoying each other.I like the people's weird hats and fat faces, they look cheerful and it makes me smile.I feel amusement to see the laughter and social companionship the people felt together to just enjoy the day outside amongst cows and the community."
boris-kustodiev_moscow-tavern-1916,amusement,"It looks like a group of people enjoying themselves.It makes me laugh because i think it looks like a group on men who have been friends for a long time having dinner and enjoying each others company.At first glance the soldiers look forbidding, but the cat and the man lounging on the left give the impression that this is a relaxed meal.The outfit those people are wearing look odd and a little silly. also the guy with the mustache and tea pot made me laugh a little."
boris-kustodiev_palm-sunday-near-the-spassky-gate-on-the-red-square-in-moscow-1917,excitement,"Feels exciting; like you can feel the pulse of the event through the picture.The two columns of colorful balloons floating above the crowd shopping and milling reinforce the feeling of excitement.  lots to see and lots to do.Colorful balloons are flying.  many people are gathered, apparently in a celebratory mood."
carl-larsson_brita-and-me-1895(1),amusement,Both figures depicted look like they are having fun and the vibrant colors contribute to that.The little girl is adorable and looks like she’s having fun.The face on the little girl is infectious and sets the mood for the entire piece.The happy child is precariously balanced on the man's head.The jolly faces of the man and child suggest they are entertaining a room full of guests.
carl-larsson_christmas-morning-1894(1),amusement,"There are some many kids playing, each doing something different.  it is cheerful.Bedtime as mother supposes but the children have other ideas.What happens after the children are sent to bed.The expressions on the kids faces and their interest in their individual activities makes me feel like they're all satisfied and content with how things are going. the child on the bed looks like he's having a really exciting time playing based on his defiant standing on the bed and facial expression.The innocence of childhood is captured in every way."
carl-larsson_self-recognition-1906(1),amusement,This is a very interesting image to look at with the creepy looking clown and woman in the background window.The ruddiness of the guy's cheeks corresponds well with the doll's expression and odd smile.The little goofy looking doll in this serious looking picture is quite the funny sight to see.
carlos-saenz-de-tejada_the-portal-n-vitoria-fifties,excitement,"There seems to be something festive going on. the yellow of the carriage really stands out against the other colors.I am happy to take a trip on a horse.The wonderful city that is filled with people, horses, and armour releases a western colony setting."
edmund-dulac_the-snow-queen-on-the-throne-of-ice,awe,It is a very detailed and cold looking painting of a ice queen.I feel awe viewing this image of a goddess on what appears to be pieces of a glacier because she has a mesmerizing gaze as if in a trance.The image of the solitary woman is beautiful.
egon-schiele_portrait-of-valerie-neuzil-1912,amusement,"The reddish hair and lips, combined with wide blue eyes, flushed cheeks look like a ginger man wearing makeup and resembling a clown.The brightly colored hair and lips of the person. the orange and reds mixed together work really well.The bright red and orange hair on the person goes well with their grey blue eyes."
eliseu-visconti_a-providencia-guia-cabral,awe,"There is much serenity in this photo through the people and colors used.I love the bright colors, and the soft lines give an ethereal feeling to the piece.The grandeur of the figure floating above.The angel is leading the ship and watching over it.Looks like a dream where a boat full of men is being led by a beautiful naked women. very cool and awesome.A siren or angel that is influencing a man in this painting, i like the mythology aspect."
eugã¨ne-grasset_inqui-tude,excitement,"He's in drag, sneaking away to visit his boyfriend, the soldier.The yellow flowers are beautiful and this woman looks to be enjoing herslf.The woman looks like she's hiding from someone who might find her at any moment."
felix-vallotton_edgar-allan-poe-1895,sadness,"The downturned eyebrows and the clasped hands looks like the man is worried. the ubiquitous black coloring signifies impending doom.A very stark black and white cartoonist depiction of poe, who reminds me of sadness and depression.Starkness of the black and white and the look on that man's face looks sorroful."
felix-vallotton_portrait-of-arthur-rimbaud-1898,sadness,"The color black makes the man look depressed and it makes me sad.There is a dejected sense about her. maybe it is the seemingly pursed lips and the slightly squinted longing eyes.The black and white nature of the image, and the uneasy expression gives you a sense of gloom."
felix-vallotton_portrait-of-french-writer-victor-barrucand-1900,something else,"The simplicity in this is astounding considering how realistic it seems, the linework and shading are captivating.The picture makes me feel nothing as it is just a mans face.The hair on top of the head that is out of place is very disturbing."
ferdinand-hodler_night-1890,fear,It looks like death is coming for the man in the center.What is the under the black blanket in the middle? looks like something is trying to kill him?The subject in the center of the painting has a look of fear with the unknown figure on top of him. it makes me feel unsettled.
ferdinand-hodler_swearing-from-behind,something else,Im not sure about how it makes me feel but it is a great calculated sketch.I feel confused as to why he's reaching up and why there are 2 of him with the reflection of some kind.This drawing of a soldier reaching up into the sky reminds me of him attempting rock climbing.
ferdinand-hodler_unity,amusement,Looks like a bunch of bull fights have attended some sort of fiery sermon to prepare for the battle to the death with the bulls.It looks like a flash mob.They look like theyre about to dance and have fun.
ferdinand-hodler_valentine-gode-darel-in-hospital-bed-1914,sadness,"It looks like this woman is on her death bed and she's not happy.This person looks like they are suffering from an illness and seems sad.The person looks like they might be ill and also appears to be sad.She appears to be very sick, like she is near death.Because the lady looks like she is sick in bed."
gustav-klimt_philosophy-final-state-1907,fear,"The woman in black reminds me of a witch who is summoning ghosts from the heavens to do her evil bidding.The darkness in this image gives a sad, gloomy impression.I am unsure why the white figures are holding their heads."
gustav-klimt_the-women-friends-1917,awe,"This painting is indulging two beautiful women together,.The women appear excited to be sharing each others company as they both sip opium tea.This painting makes you feel love.  the lighter colors draws you to look at the women."
henri-de-toulouse-lautrec_admiral-viaud-1901,excitement,"Something about this says ""george washington"" but on steroids. the red is perfect.I see this as george washington's self-portrait. leadership.The captain commands his crew as their opponent charges for an attack."
henri-de-toulouse-lautrec_at-the-circus-horse-and-monkey-dressage-1899,amusement,"Every great clown needs to have the right props.These are definitely circus performers, so it is fun to imagine what kind of performance they might be putting on.  the lipstick on the donkey is funny, although it would possibly seem cruel in real life.This takes me back to childhood circuses. i always loved them. such a happy time."
henri-de-toulouse-lautrec_debauchery-second-floor-1896,disgust,"The picture is of a crude sexual act, a lewd man baring and touching the breast of a drunken woman with alcohol in her hand. the woman looks cheap and the man crude and self-serving.A lecherous man appears to be taking advantage of an intoxicated woman.The man behind the woman creeps me out due to his facial expression and the way he has his arm around the woman."
henri-de-toulouse-lautrec_first-comunion-1888,amusement,So much history in this pic when people dressed up in fancy clothes.  i like this sketch of the family it makes me wonder where are they going?He wanted a new automobile. she wanted another kid.They look cool and elegant with a streak of ghoulishness.  they also look like they are going trick or treating.
henri-de-toulouse-lautrec_la-gitane-the-gypsy-1899,something else,The picture looks simple and plain and for a movie or play.Because of the writing this feels like an older illustration book.It really doesn't make me feel any emotion.  the colors are bland and there's not much detail.
henri-de-toulouse-lautrec_mary-hamilton,something else,"I don't really feel anything when looking at this piece.  there isn't enough detail or contrast to really invoke any emotion.Sophisticated looking woman, modern for the age,  and spunky looking stands and smiles.The picture of the person makes me confused because i don't know if it is a man or woman due to the clothes."
henri-de-toulouse-lautrec_skating-professional-beauty-mlle-liane-de-lancy-at-the-palais-de-glace-1896,something else,"I see a proper lady and gentleman having a drink and conversation at a bar by the looks of the way they are standing.The sketch is good, confused with the face expressions.Curious - i want to know what they are talking about."
heorhiy-narbut_cover-for-the-book-the-russian-red-cross-1867-1917-1917,anger,This creates the impression of nazi or communist values.This image lacks character and memorable traits and looks more like a logo than a work of art.The image reminds me of posters for far-right political groups.
heorhiy-narbut_design-of-two-thousand-hryvnias-bill-of-the-ukrainian-national-republic-avers-1918,something else,"This looks like money from a foreign country. it is not too exciting to see.Not art, just a ticket or certificate or something.Nope, nothing really happening here. needs people, a location, nature, a setting.I am intrigued at what it says because it is in a different language."
heorhiy-narbut_roses-1916,something else,I really like the vase for this flower arrangement.A bouquet of roses. the leaves are very dark and contrast with the soft reds of the flowers.It is fine. i think the colors are too muted for me to feel excited about seeing a bouquet. it does not spark joy.
ivan-bilibin_illustration-for-the-fairy-tale-vasilisa-the-beautiful-1900-3(1),something else,"The white dress she is wearing brings lightness in the dark of the night.Very creepy-the skull on a stick is definitely unsettling, the darkness in most of the painting  depicts the same scene as the skulls dark, gloomy, scary, and afraid, very afraid.Looks as if light is coming out of the eyes of a skull on a stick that a woman in a dress is holding."
ivan-bilibin_illustration-for-the-russian-fairy-story-sister-alyonushka-and-brother-ivanushka-1901-2(1),something else,"What is this does not even make any sense, too much going on at the top and nothing at the bottom.Boredom. this picture is very plain and too simply drawn.I'm curious about the words say, and what story they tell.On the road to nowhere but that is still somewhere."
ivan-bilibin_illustration-for-the-russian-fairy-story-white-duck-1902-2(1),something else,The cream colored background lets the framed colorful artwork and black lettering stand out.The wording and strange posture position of the objects in the sunset made me feel confused.Page of a book with a small picture of a man on a tree trunk. it's dark but intricate.
ivan-bilibin_monastery-of-st-george-hosevita-palestine-1924,awe,The sight of a town in the middle of the cliffs symbolizes the resilience of humanity.The sand colored building was camouflaged in the mountainside.It's incredible that homes could be built into the side of rock like that.A very nice sense of scale and perspective.
ivan-bilibin_palace-of-chernomor-sketches-of-scenery-for-mikhail-glinka-s-ruslan-and-ludmilla-1900,awe,This looks exotic with the patterned tile and the gold shapes roud the entryways. the backdrop of mountains makes it seem inaccessible and hidden like a perfect archaeology find.Awe and contentment if i could pick two. a peaceful setting with impressive architecture in a exotic loaction.I'm amazed at the detail and realism. it's almost a picture.Those buildings are absolutely stunning! i love the architecture as well as the details. i wish there were places in my country which looked like this.
ivan-bilibin_prince-ivan-and-the-firebird-illustration-for-the-russian-fairy-story-the-firebird-1901,awe,"It is sort of mystical.Catching a peacook in flight by its tail feathers.This drawing is pretty unique, and reminds me of history's drawings for churches."
